qid,query
59350#0,最后一任法国国王是谁？
1026402#0,硫元素的质子数是多少？
17254#0,长沙的特色小吃有哪些？
1219741#0,伊斯兰教有什么节日？
4019489#0,台湾有哪些景点？
7405450#0,蓝宝石中含有哪些矿物质？
903374#0,获得世界杯冠军最多的是哪个国家？
6746298#0,收音机都有哪些核心元件？
1125164#0,中国985学校有哪些？
596861#0,非洲有多少个国家？
135660#0,鬣狗的奔跑速度是多少？
6860670#0,中国最长的高速铁路有多长？
519775#0,香港脚是怎么形成的？
7570894#0,奥地利首都是什么？
1698585#0,蔡元培曾任哪所大学校长？
5408553#0,阿根廷获得几次足球世界杯冠军？
1864036#0,日本有多少个岛？
169286#0,加拿大有哪些国家公园？
1217387#0,成年鲸鱼身体长多少？
1542426#0,广州在哪个省？
173715#0,台湾有哪些大学？
6987045#0,感染新型冠状病毒有哪些症状？
6285061#0,著名心理学家有哪些人？
4699137#0,菲律宾现任总统是谁？
6425476#0,韩国首都是哪里？
441351#0,台湾有哪些特色水果？
1262122#0,泰勒斯威夫特有哪些唱片？
4117168#0,谁是电影《功夫》的导演？
5043970#0,血脂包含哪些物质？
3008471#0,《加勒比海盗》的男主角是谁？
207255#0,东南亚常见的自然灾害是什么？
733445#0,亚述帝国的首都是哪里？
3784724#0,重庆有哪些美食？
558703#0,悉尼歌剧院最多可以容纳多少观众？
1340362#0,朝鲜国旗有几种颜色？
1494982#0,所罗门群岛的首都是哪里？
51458#0,直隶总督府位于哪座城市？
3413868#0,清代最后一任皇帝是谁？
5576711#0,2022冬季奥运会在哪里举办？
1682385#0,淮河流域流经哪些省份？
1244389#0,刘备的结义兄弟是谁？
9372#0,希腊邻国有哪些？
728844#0,霍金去世时的年龄是多大？
5601683#0,伦敦属于哪种气候类型？
903514#0,恐龙灭绝的原因有哪些？
1049033#0,乌克兰天主教人口有哪些？
7062103#0,日本有哪些连锁便利店？
6990558#0,知名的粤语歌曲有哪些？
7163801#0,拜占庭帝国于哪一年灭亡？
7296877#0,天主教的人口有多少？
1526889#0,香港有哪些知名跨国公司？
539683#0,高雄位于台湾哪个方位？
548577#0,精神分裂症有哪些症状？
3819400#0,中华民国于哪一年成立？
4711213#0,南美洲地区中人口有多少？
5581019#0,韩国向中国引进的综艺节目有哪些？
2898990#0,行星探测经历了哪些环节？
6583370#0,马铃薯的功效有哪些？
7612241#0,美国有哪些飞行器制造专家？
1272872#0,河南省博物馆有哪些藏品？
1205075#0,中国共产党第一次代表大会在哪里召开？
449834#0,美国知名电影公司有哪些？
7770177#0,2024年奥运会在哪个城市举办？
92621#0,厄瓜多尔人口多少？
6645769#0,世界上最大的罗马教堂位于哪里？
1202435#0,世界上最高的山脉位于哪里？
1502544#0,韩国组合EXO有多少人？
3783767#0,南极洲上有什么生物？
5649773#0,哪些河流经云南省？
3907285#0,美国有多少州？
3118265#0,法国有哪些美食？
2830529#0,英国有哪些美食？
4261399#0,中国有哪些深海鱼？
5192942#0,乌克兰总面积多少？
511807#0,二战中有哪些战败国？
317963#0,中国最大的淡水湖在哪里？
3291078#0,朝鲜实行什么国家制度？
1193028#0,法国最高的山在哪里？
594125#0,澳大利亚人口多少？
2908292#0,美国有哪些天文学家？
738208#0,中国有哪些网球运动员？
4854875#0,立陶宛的首都是哪里？
5594906#0,中国有哪些有名的纪录片？
1421003#0,天主教人口有多少？
7669946#0,迪士尼有哪些动画片？
3011523#0,巴基斯坦哪一年和中国建交？
593568#0,美国有哪些国际杂志？
7684235#0,中国有哪些铁路线路？
1731494#0,中国有哪些历史剧？
1252880#0,中山大学的校长是谁？
5569437#0,荷兰的官方语言是哪种？
5499055#0,乌克兰的现任总理是谁？
6290320#0,手机应用商店下载量最大的游戏是什么？
149728#0,湖南有哪些有名的自然景点？
4510484#0,南京地铁有哪些线路？
7658665#0,韩国有哪些电视台？
2905248#0,星座主要星体有哪些？
1709828#0,世界电单车锦标赛冠军有谁？
5621019#0,法国有哪些酒庄？
3343336#0,中国有哪些和新加披合作电视剧？
4066870#0,中国《极限挑战》的嘉宾有谁？
3781101#0,德国有哪些汽车品牌？
5993881#0,天津中学生人数有多少？
570423#0,台湾有哪些小说家？
727704#0,美国有哪些摇滚乐队？
3499636#0,世界上哪些国家同性婚姻合法？
5076275#0,中国有哪些传统乐器？
5956912#0,中国有哪些企业家上榜《财富》杂志？
7135525#0,区块链有哪些类型？
290282#0,中国有哪些制药公司？
5153437#0,朝鲜的领导人是谁？
4221479#0,中国有哪些神经科学家？
5480783#0,沙特阿拉伯属于哪一洲？
2934481#0,英格兰气候什么特点？
5074590#0,中国古代有哪些刑罚？
88217#0,台湾有哪些连锁商店？
646229#0,吉隆坡有哪些旅游景点？
54646#0,社会主义价值观包含哪些内容？
5973896#0,韩国有哪些娱乐公司？
494116#0,广州有哪些机场？
1492644#0,巴西有什么节假日？
235405#0,美国有哪些有名的科研机构？
2963705#0,伊朗有哪些邻国？
1176916#0,罗马天主教有哪些教义？
7412943#0,水蛭有哪些药物价值？
103970#0,中国有哪四大银行？
42237#0,台湾有哪些民间组织？
1842099#0,太平洋有哪些小岛？
6036671#0,东汉有哪些历史人物？
3763008#0,传感器的主要功能有哪些？
4054336#0,英国有哪些交通工具？
1451308#0,RNA和DNA有哪些区别？
5562#0,资产阶级有哪些代表人物？
845642#0,香港有哪些日本改编的歌曲？
7809969#0,哪些国家适用大陆法？
314506#0,意大利有哪些区域？
517910#0,中国有哪些邮箱网站？
895829#0,小行星有哪些轨道分布？
6342348#0,哈萨克人口多少？
