qid,docno,label
0,18032#10,1
0,36221#5,0
0,42302#231,0
0,8113#25,0
0,32995#57,0
0,32763#48,0
0,95325#1,0
0,32763#91,0
0,38655#1,0
0,35063#11,0
0,98037#11,0
1,32360#1,1
1,33469#1,0
1,57259#3,0
1,55780#0,0
1,55762#0,0
1,106329#3,0
1,33788#2,0
1,55946#0,0
1,98339#21,0
1,32360#2,0
1,101829#7,0
3,91090#0,1
3,15586#0,1
3,2555#15,1
4,1173#6,1
5,28200#0,1
7,65461#1,1
9,3036#0,1
11,35252#1,1
11,35252#2,0
11,35252#3,0
11,35252#4,0
11,35284#3,0
11,35264#3,0
11,35258#0,0
11,35252#0,0
11,82923#0,0
11,96307#2,0
14,10216#1,1
14,10216#4,0
14,10216#2,0
14,10216#3,0
14,10216#0,0
14,87710#8,0
14,87291#1,0
14,34200#5,0
14,103853#2,0
14,106016#1,0
15,106374#4,1
15,100146#0,0
15,106374#0,0
15,92776#13,0
15,60698#0,0
15,106010#3,0
15,78578#0,0
15,35507#3,0
15,106334#2,0
15,101071#6,0
16,8102#1,1
16,1175#8,1
16,101255#2,1
16,66802#4,0
16,101255#8,0
16,8134#5,0
16,32029#14,0
16,101268#1,0
16,3446#1,0
16,3026#3,0
17,34534#2,1
17,34534#1,1
17,34534#3,0
17,34534#0,0
17,14827#13,0
17,34534#5,0
17,1676#56,0
17,14827#12,0
17,104498#1,0
17,14855#9,0
18,18327#0,1
18,18424#0,1
18,18327#4,0
18,6450#0,0
18,18327#2,0
18,3263#0,0
18,2968#0,0
18,19253#5,0
18,62871#0,0
18,18327#3,0
19,77081#1,1
19,77081#2,0
19,90239#4,0
19,1950#0,0
19,78798#1,0
19,1676#117,0
19,2250#0,0
19,7147#7,0
19,2231#0,0
19,20426#1,0
20,22837#0,1
21,2753#0,1
21,2753#1,1
23,82975#30,1
23,5068#63,0
24,42181#0,1
25,1848#1,1
26,17322#3,1
28,30065#0,1
30,7398#5,1
30,15997#0,1
31,39840#0,1
33,1191#17,1
33,90239#10,1
39,693#2,1
39,2239#0,1
40,2055#3,1
41,6122#0,1
41,6123#0,0
42,9828#3,1
45,34294#17,1
45,2560#35,1
46,18662#1,1
46,17874#0,1
48,36234#10,1
50,27017#0,1
50,77081#1,1
51,1676#9,1
53,78789#36,1
53,2404#6,0
54,33454#2,1
55,4023#17,1
57,1191#45,1
57,65876#1,1
58,3036#2,1
59,101255#2,1
60,31535#0,1
61,15708#0,1
63,1797#3,1
64,3213#0,1
64,3036#11,0
65,17#20,1
66,8390#3,1
67,33379#0,1
68,17#20,1
69,33028#0,1
69,1751#0,1
70,93888#0,1
71,18520#9,1
71,16649#4,0
73,2928#0,1
74,2172#11,1
74,3231#2,1
75,32679#0,1
76,16649#4,1
77,14888#15,1
78,3532#0,1
79,9290#0,1
79,5845#0,0
82,8450#5,1
83,91444#3,1
84,5286#28,1
85,5373#0,1
87,2442#11,1
88,2021#0,1
88,2021#9,1
88,2021#12,1
88,2021#11,0
89,2021#0,1
89,2021#9,1
89,2021#12,1
89,2021#11,0
90,1991#0,1
91,55007#0,1
92,2177#0,1
93,2442#7,1
94,2458#0,1
95,96467#0,1
95,15868#2,1
96,2442#11,1
97,35956#0,1
98,27017#0,1
100,1751#0,1
100,33028#3,1
100,1676#9,0
100,102418#2,0
100,1751#31,0
100,36506#2,0
100,2550#2,0
100,1751#30,0
100,1751#18,0
100,1751#37,0
102,5954#1,1
102,5952#3,1
102,2172#4,1
102,5954#0,1
102,5956#1,0
102,2172#5,0
102,5952#10,0
102,5952#21,0
102,31144#0,0
102,33178#0,0
103,39540#0,1
103,16680#0,0
103,92378#0,0
103,92376#0,0
103,33477#5,0
103,32749#1,0
103,100431#2,0
103,95779#0,0
103,35887#8,0
103,35507#3,0
103,21850#5,0
104,33444#0,1
104,33444#2,1
104,33444#1,0
104,68767#0,0
104,33444#3,0
104,33444#4,0
104,97287#2,0
104,97363#5,0
104,1676#115,0
104,33362#2,0
106,14806#6,1
106,31524#0,1
106,14806#1,1
106,87180#0,1
106,13351#1,1
106,14806#16,0
106,14806#5,0
106,14806#0,0
106,14806#9,0
106,32051#21,0
106,31524#1,0
107,5954#1,1
107,5952#20,1
107,5952#3,1
107,5956#1,0
107,2172#5,0
107,33209#0,0
107,5954#0,0
107,33178#0,0
107,2827#0,0
107,5952#10,0
107,6093#0,0
109,13351#1,1
109,41942#28,1
109,15017#3,0
109,35507#3,0
109,1859#1,0
109,5942#1,0
109,6116#7,0
109,40198#7,0
109,4112#4,0
109,33875#3,0
109,4114#3,0
109,78578#0,0
110,96651#0,1
110,101255#5,1
110,20426#1,0
110,56305#0,0
110,102418#2,0
110,7147#7,0
110,6274#8,0
110,66802#4,0
110,96645#0,0
110,96735#0,0
110,32051#5,0
111,78811#8,1
111,77299#2,0
111,1859#1,0
111,34139#1,0
111,5573#1,0
111,78804#7,0
111,35507#3,0
111,33666#4,0
111,14102#5,0
111,1783#42,0
111,34036#9,0
