qid,docno,label
10756354#0,118820#57,1
10756354#0,118820#18,1
10756354#0,2829#93,1
10756354#0,6739492#1,1
10756354#0,3975514#10,1
10756354#0,578853#3,1
10756354#0,118820#1,1
10756354#0,118820#20,1
10756354#0,12056910#0,0
10756354#0,41903#15,0
13610066#0,1359783#108,1
13610066#0,1359783#31,1
13610066#0,12801#0,1
13610066#0,688954#26,1
13610066#0,688954#31,1
13610066#0,3837535#4,1
13610066#0,688954#105,1
13610066#0,1662824#1,1
13610066#0,569643#11,1
13610066#0,688954#5,0
3531176#0,169416#0,1
3531176#0,515101#0,1
3531176#0,12824410#0,1
3531176#0,8035477#0,1
3531176#0,9963104#0,1
3531176#0,169416#7,0
3531176#0,169416#8,0
3531176#0,10587237#0,0
3531176#0,3194056#0,0
3531176#0,169416#10,0
12934247#0,1212577#7,1
12934247#0,2160#1,1
12934247#0,2251#0,1
12934247#0,10548685#3,1
12934247#0,5324700#2,1
12934247#0,5143968#0,0
12934247#0,144995#0,0
12934247#0,7559267#0,0
12934247#0,7559233#0,0
12934247#0,13259492#2,0
3114283#0,12150555#1,1
3114283#0,1079934#3,0
3114283#0,11785800#3,0
3114283#0,319939#0,0
3114283#0,664393#2,0
3114283#0,775966#3,0
3114283#0,12150815#1,0
3114283#0,8686989#3,0
3114283#0,12054579#1,0
3114283#0,664441#2,0
9567602#0,40162#1,1
9567602#0,3921468#26,1
9567602#0,27525#18,1
9567602#0,227551#9,0
9567602#0,40162#19,0
9567602#0,618495#2,0
9567602#0,40162#20,0
9567602#0,40162#13,0
9567602#0,40162#4,0
9567602#0,1373879#5,0
481757#0,353698#7,1
481757#0,353698#5,1
481757#0,353698#16,1
481757#0,7177494#7,1
481757#0,353698#9,1
481757#0,7612289#2,1
481757#0,353698#51,0
481757#0,353698#4,0
481757#0,353698#3,0
481757#0,353698#12,0
9315246#0,351429#2,1
9315246#0,12191325#1,0
9315246#0,4522022#3,0
9315246#0,3210480#3,0
9315246#0,13561886#0,0
9315246#0,13561886#4,0
9315246#0,2028185#2,0
9315246#0,14013286#1,0
9315246#0,780497#0,0
9315246#0,5622094#0,0
12330540#0,12330540#23,1
12330540#0,13505903#5,1
12330540#0,12330540#22,0
12330540#0,12330540#5,0
12330540#0,12330540#0,0
12330540#0,966661#8,0
12330540#0,1505891#7,0
12330540#0,2467763#5,0
12330540#0,10123886#16,0
12330540#0,966661#9,0
5873198#0,36274#0,1
5873198#0,36274#69,1
5873198#0,231950#0,0
5873198#0,2682528#0,0
5873198#0,356445#0,0
5873198#0,231247#0,0
5873198#0,10801335#0,0
5873198#0,7933410#0,0
5873198#0,4307376#0,0
5873198#0,4153675#3,0
10630979#0,1229290#1,1
10630979#0,1229290#2,0
10630979#0,1229290#6,0
10630979#0,1737252#6,0
10630979#0,1229290#0,0
10630979#0,10916330#21,0
10630979#0,11534850#75,0
10630979#0,719412#18,0
10630979#0,2725768#25,0
10630979#0,1737252#0,0
5664731#0,168585#1,1
5664731#0,934829#0,1
5664731#0,25099#8,1
5664731#0,7010950#1,0
5664731#0,7011583#1,0
5664731#0,12942157#1,0
5664731#0,7010950#0,0
5664731#0,9139901#1,0
5664731#0,5863508#1,0
5664731#0,1205745#1,0
25125#0,896859#2,1
25125#0,3157415#6,0
25125#0,3965219#7,0
25125#0,194090#9,0
25125#0,2683232#12,0
25125#0,630271#20,0
25125#0,5891462#0,0
25125#0,3951089#1,0
25125#0,710294#1,0
25125#0,846832#3,0
839721#0,13263947#6,1
839721#0,7265706#10,1
839721#0,13264517#1,1
839721#0,839721#0,0
839721#0,839721#5,0
839721#0,7141471#1,0
839721#0,10638653#18,0
839721#0,13263146#2,0
839721#0,839721#13,0
839721#0,839721#3,0
1675090#0,4473605#0,1
1675090#0,706379#0,1
1675090#0,8317369#0,1
1675090#0,3776304#0,1
1675090#0,706379#167,1
1675090#0,706379#190,0
1675090#0,14065386#0,0
1675090#0,656291#14,0
1675090#0,3655784#0,0
1675090#0,3776338#1,0
2843363#0,187525#4,1
2843363#0,6530252#13,1
2843363#0,187525#1,1
2843363#0,89993#5,1
2843363#0,89993#49,1
2843363#0,187525#8,0
2843363#0,689649#11,0
2843363#0,2551#42,0
2843363#0,4787950#6,0
2843363#0,187525#6,0
3741367#0,57821#0,1
3741367#0,1253369#12,1
3741367#0,3578519#14,1
3741367#0,119849#9,1
3741367#0,1393609#10,1
3741367#0,4791479#2,1
3741367#0,57821#80,1
3741367#0,6775415#7,1
3741367#0,94227#9,1
3741367#0,57821#145,0
6939858#0,6754611#2,1
