qid,docno,label
0,12146#1,1
1,37927#6,1
5,38960#5,1
8,52283#3,1
10,78492#0,1
12,548193#0,1
12,2937#11,1
12,470898#0,0
12,563871#4,0
12,548193#17,0
12,548193#2,0
12,563871#1,0
12,563278#37,0
12,548788#1,0
12,185773#2,0
13,2854#1,1
13,129659#0,0
13,435465#0,0
13,114522#10,0
13,435465#1,0
13,2854#0,0
13,129664#2,0
13,435465#3,0
13,850541#1,0
13,129664#0,0
14,26348#2,1
14,465749#2,0
14,26348#4,0
14,26348#22,0
14,26348#1,0
14,26348#3,0
14,26348#16,0
14,26348#17,0
14,465749#1,0
14,26348#11,0
15,97099#1,1
15,44634#14,1
15,5201#9,1
15,5201#1,1
15,5201#7,0
15,491510#1,0
15,648278#19,0
15,86365#0,0
15,5201#0,0
15,445603#8,0
15,249338#0,0
16,172368#4,1
16,172368#3,0
16,172368#15,0
16,172368#17,0
16,172368#24,0
16,172368#0,0
16,172368#2,0
16,172368#18,0
16,41835#4,0
16,28335#14,0
16,172368#10,0
17,202395#1,1
17,195806#1,1
17,202395#4,0
17,202395#8,0
17,342073#2,0
17,10917#9,0
17,202395#6,0
17,10917#2,0
17,6388#143,0
17,11387#2,0
18,62906#0,1
18,53810#0,1
18,754344#1,0
18,53707#2,0
18,62906#2,0
18,30285#1,0
18,62906#1,0
18,53707#3,0
18,62906#6,0
18,53707#5,0
19,10820#0,1
19,232005#0,0
19,757662#0,0
19,3736#3,0
19,942480#3,0
19,83486#0,0
19,308908#0,0
19,212045#0,0
19,12458#2,0
19,342328#1,0
19,215411#22,0
21,33326#0,1
21,33326#1,0
21,449595#0,0
21,812431#1,0
21,33326#2,0
21,344437#60,0
21,7587#0,0
21,943675#1,0
21,306042#0,0
21,292377#6,0
22,718106#0,1
22,718106#2,0
22,718106#21,0
22,718106#4,0
22,718106#1,0
22,718106#23,0
22,718106#7,0
22,718106#19,0
22,718106#11,0
22,718106#8,0
26,51096#0,1
26,59272#1,1
26,505351#1,0
26,909849#0,0
26,63904#34,0
26,134917#2,0
26,59275#0,0
26,421352#0,0
26,909570#0,0
26,220554#5,0
26,259685#4,0
27,5333#3,1
27,78945#11,1
27,5333#0,1
27,664888#3,0
27,482435#1,0
27,215002#0,0
27,78945#14,0
27,165970#38,0
27,5333#2,0
27,17187#8,0
27,936#104,0
30,201836#0,1
30,18805#2,0
30,351341#4,0
30,230186#1,0
30,319334#0,0
30,42150#3,0
30,372070#0,0
30,138128#1,0
30,867822#1,0
30,133183#1,0
31,59413#0,1
31,321758#0,0
31,168009#0,0
31,4801#0,0
31,43460#9,0
31,59413#9,0
31,59413#13,0
31,59413#7,0
31,4801#38,0
31,59413#12,0
31,59413#2,0
32,671#4,1
32,69653#11,1
32,296168#7,1
32,142983#3,1
32,109228#0,1
32,109228#1,1
32,28664#1,0
32,671#3,0
32,11232#6,0
32,69653#7,0
32,741532#1,0
32,6000#12,0
33,1796#4,1
33,554032#0,1
33,14170#1,0
33,749#18,0
33,287131#4,0
33,14157#3,0
33,288029#0,0
33,587144#0,0
33,34736#4,0
33,37917#17,0
35,508742#0,1
36,25625#0,1
36,1937#1,1
37,18064#21,1
37,18064#3,1
38,31637#0,1
39,4475#11,1
40,37927#1,1
41,17362#1,1
43,107581#1,1
44,62690#1,1
45,78480#2,1
46,28508#0,1
47,19292#0,1
48,805818#1,1
50,5419#0,1
50,5419#23,1
52,217876#0,1
53,5673#0,1
54,268744#5,1
55,11160#0,1
56,54270#0,1
57,4529#17,1
58,20754#0,1
58,20754#1,0
62,51656#0,1
64,281274#0,1
66,680150#0,1
69,316833#0,1
69,316833#1,1
70,669#0,1
71,383642#0,1
72,6263#0,1
74,291870#0,1
74,291870#4,1
75,47829#4,1
76,183349#0,1
78,87726#0,1
80,32318#0,1
81,192124#2,1
81,192124#27,0
81,192124#23,0
81,192124#29,0
81,192124#25,0
81,192124#1,0
81,192124#14,0
81,192124#4,0
81,192124#15,0
84,846040#0,1
85,114542#1,1
86,42719#0,1
87,155307#0,1
90,882982#0,1
91,24448#2,1
92,555281#0,1
92,555281#1,0
93,132244#1,1
94,20779#3,1
95,4284#3,1
95,4284#0,0
98,72960#11,1
99,298882#0,1
101,815767#1,1
102,840008#0,1
103,38600#0,1
104,137564#0,1
104,104958#0,1
105,1847#0,1
105,1847#4,0
106,27916#2,1
108,43247#0,1
109,145709#0,1
109,145709#4,1
110,28986#1,1
112,201475#1,1
112,518007#1,0
112,34462#0,0
112,201475#0,0
112,423491#1,0
112,201475#15,0
112,201475#19,0
112,201475#14,0
112,201475#17,0
112,201475#12,0
113,1937#1,1
113,877781#0,0
113,1953#7,0
113,934066#0,0
113,7585#39,0
113,772879#1,0
113,577772#0,0
113,50090#0,0
113,50090#20,0
113,468066#0,0
114,71371#0,1
114,71371#6,0
114,38909#1,0
114,71371#9,0
114,350511#4,0
114,786912#1,0
114,870519#1,0
114,349993#2,0
114,71371#5,0
114,52286#1,0
115,171855#0,1
115,389868#1,0
115,389868#2,0
115,734918#0,0
115,946777#0,0
115,485215#24,0
115,347458#1,0
115,701653#1,0
115,463789#8,0
115,764736#0,0
116,334927#3,1
116,334927#12,0
116,334927#0,0
116,749#0,0
116,649331#0,0
116,48149#0,0
116,50604#0,0
116,85330#0,0
116,369295#1,0
116,58169#6,0
117,7426#0,1
117,63620#0,0
117,118229#0,0
117,63620#18,0
117,63620#29,0
117,5707#1,0
117,63620#7,0
117,6155#13,0
117,136398#0,0
117,7426#2,0
117,63620#30,0
118,209970#7,1
118,163253#33,1
118,163253#0,1
118,163253#11,0
118,163253#23,0
118,163253#5,0
118,163253#19,0
118,251008#2,0
118,841721#1,0
118,749161#3,0
118,163253#17,0
119,63252#5,1
119,63252#6,0
119,202656#2,0
119,530858#1,0
119,126290#0,0
119,63252#7,0
119,306281#0,0
119,63252#40,0
119,342325#1,0
119,130989#5,0
120,107325#0,1
120,259896#0,0
120,50788#0,0
120,306666#0,0
120,103205#0,0
120,276014#0,0
120,644212#3,0
120,265921#0,0
120,10808#4,0
120,470114#0,0
120,107325#20,0
121,65106#0,1
121,65106#40,0
121,27865#14,0
121,65106#38,0
121,65106#42,0
121,65106#37,0
121,65106#39,0
121,65106#45,0
121,65106#43,0
121,437242#0,0
121,437242#8,0
123,187489#1,1
123,187489#0,1
123,187489#3,0
123,187489#5,0
123,927928#0,0
123,363256#0,0
123,115882#0,0
123,41079#10,0
123,380102#0,0
123,900277#0,0
124,293816#0,1
124,293816#21,1
124,293816#1,0
124,293816#15,0
124,293816#14,0
124,293816#27,0
124,293816#2,0
124,293816#29,0
124,293816#23,0
124,293816#16,0
125,20659#2,1
125,20659#0,0
125,20659#27,0
125,21015#1,0
125,211529#3,0
125,20659#23,0
125,350694#0,0
125,20659#17,0
125,20659#16,0
125,979747#6,0
126,168928#0,1
126,82862#4,0
126,355321#5,0
126,168928#2,0
126,456950#8,0
126,386886#0,0
126,8331#0,0
126,213393#10,0
126,35713#1,0
126,95544#12,0
126,139709#0,0
126,139709#2,0
127,217876#0,1
127,217876#1,1
127,217876#2,0
127,772023#2,0
127,772023#6,0
127,412716#2,0
127,42150#3,0
127,21257#1,0
127,35112#1,0
127,908938#2,0
129,3871#0,1
129,46576#7,1
129,108879#4,0
129,3871#7,0
129,543515#6,0
129,125776#0,0
129,47200#0,0
129,651103#0,0
129,4946#2,0
129,35117#1,0
130,164581#3,1
130,854214#3,0
130,164581#5,0
130,745635#3,0
130,164581#1,0
130,854541#12,0
130,745635#8,0
130,745635#4,0
130,164581#8,0
130,279386#8,0
131,6586#5,1
131,110223#0,1
131,6586#4,1
131,6586#0,0
131,110223#3,0
131,38600#0,0
131,40411#0,0
131,428343#0,0
131,6586#2,0
131,110223#1,0
131,110223#6,0
134,1924#0,1
134,4206#0,1
134,204408#0,1
134,277281#0,1
134,203926#0,0
134,711922#0,0
134,711924#0,0
134,711520#2,0
134,12111#2,0
134,20722#5,0
135,8140#1,1
