qid,docno,label
5,12980#4,1
5,158821#12,1
5,203632#0,1
5,203636#7,0
5,12980#140,0
5,158821#11,0
5,318200#0,0
5,12980#107,0
5,203636#0,0
5,12980#9,0
6,1041049#0,1
6,1109#0,0
6,1109#4,0
6,27013#9,0
6,1003#2,0
6,221251#0,0
6,157857#2,0
6,133834#2,0
6,1072#2,0
6,355906#6,0
7,4140#46,1
7,56018#0,1
7,56012#2,1
7,4140#39,1
7,4140#35,1
7,4140#49,0
7,4140#44,0
7,4140#51,0
7,4140#47,0
7,56023#13,0
9,336035#0,1
9,16835#6,1
9,249532#0,1
9,16835#35,1
9,462208#0,1
9,462208#2,1
9,336034#0,0
9,311667#3,0
9,357906#0,0
9,336890#6,0
9,16835#5,0
9,336909#1,0
10,2474646#0,1
10,341568#1,0
10,838#17,0
10,233885#0,0
10,84725#21,0
10,37850#1,0
10,211528#13,0
10,217347#4,0
10,154769#1,0
10,204236#20,0
12,817#0,1
12,4776#0,1
12,4767#0,1
12,817#2,1
12,817#12,1
12,4759#56,1
12,817#1,0
12,4760#0,0
12,194373#3,0
12,4765#14,0
13,20535#7,1
13,4483#6,0
13,20535#0,0
13,16#31,0
13,280451#0,0
13,280451#2,0
13,423688#5,0
13,46008#100,0
13,22426#33,0
13,305681#0,0
14,4686#0,1
14,4686#8,1
14,45522#5,1
14,48559#3,1
14,4686#3,0
14,4690#2,0
14,4686#11,0
14,4686#6,0
14,4686#15,0
14,4686#1,0
16,24600#46,1
16,3908#0,1
16,24600#45,1
16,24600#0,1
16,24600#27,1
16,24600#12,0
16,24600#16,0
16,24600#49,0
16,24600#20,0
16,24600#25,0
23,2162252#0,1
23,126770#0,0
23,416572#3,0
23,423688#17,0
23,19463#39,0
23,17663#59,0
23,412213#59,0
23,423688#11,0
23,838#17,0
23,263331#0,0
24,416939#2,1
24,416939#6,0
24,416939#16,0
24,416939#5,0
24,416939#0,0
24,416939#8,0
24,416939#1,0
24,416939#15,0
24,237647#4,0
24,416939#9,0
26,12561#27,1
26,252481#6,0
26,252481#7,0
26,280747#0,0
26,252481#8,0
26,140156#61,0
26,141659#0,0
26,347867#4,0
26,246176#0,0
26,280747#2,0
28,4531#6,1
28,235775#1,1
28,231057#1,1
28,235775#27,0
28,326160#4,0
28,231057#0,0
28,303176#2,0
28,23379#23,0
28,4448#2,0
28,231057#2,0
29,2961#1,1
29,154904#0,1
29,2969#0,1
29,252993#1,0
29,5463#32,0
29,252993#5,0
29,219526#47,0
29,300532#0,0
29,6098#14,0
29,2961#12,0
31,4789#18,1
31,817#2,1
31,817#9,1
31,3468#0,1
31,4760#10,1
31,157641#0,1
31,5133#4,1
31,17412#5,0
31,817#3,0
31,4776#12,0
32,191825#4,1
32,98106#0,1
32,71191#1,0
32,25036#26,0
32,102512#6,0
32,71192#2,0
32,425363#3,0
32,157470#4,0
32,34873#0,0
32,34873#1,0
33,152301#0,1
33,24870#1,1
33,24870#0,0
33,24870#19,0
33,192926#0,0
33,207253#14,0
33,269238#2,0
33,24870#13,0
33,280531#1,0
33,4007#14,0
35,45442#1,1
35,4962#12,1
35,21098#1,1
35,4962#3,1
35,29955#8,0
35,4962#28,0
35,121816#2,0
35,4962#64,0
35,155057#6,0
35,15179#6,0
36,190160#0,1
36,403767#21,0
36,190160#9,0
36,190160#28,0
36,190138#0,0
36,190138#2,0
36,190160#22,0
36,274334#1,0
36,190160#21,0
36,190138#41,0
37,127192#8,1
37,127192#2,1
37,127192#52,1
37,127192#0,0
37,127192#51,0
37,127207#21,0
37,127192#3,0
37,127192#7,0
37,127192#15,0
37,127192#54,0
39,18035#0,1
39,21787#0,1
39,13795#0,1
39,29284#0,1
39,413304#0,1
39,4448#12,1
39,4448#32,0
39,4448#34,0
39,248938#0,0
39,14287#0,0
42,1765910#0,1
42,145864#0,0
42,64362#0,0
42,47018#4,0
42,15398#6,0
42,838#17,0
42,20114#1,0
42,57860#0,0
42,188659#3,0
42,134373#1,0
43,337117#1,1
43,4397#3,1
43,12539#8,1
43,4525#21,0
43,12539#6,0
43,245613#0,0
43,12539#25,0
43,12561#71,0
43,12539#34,0
43,208676#22,0
44,217887#0,1
44,218231#13,1
44,216844#3,1
44,218231#7,0
44,386041#1,0
44,201077#0,0
44,386041#0,0
44,173157#5,0
44,20677#7,0
44,51169#37,0
45,707353#0,1
45,71477#0,0
45,16172#18,0
45,4533#33,0
45,1130#52,0
45,739#20,0
45,84608#0,0
45,377991#3,0
45,739#44,0
45,739#32,0
47,23907#9,1
47,220042#5,0
47,266124#1,0
47,216573#2,0
47,14741#3,0
47,218037#0,0
47,18978#13,0
47,1016#45,0
47,266124#3,0
47,4933#58,0
48,16097#12,1
48,16097#11,0
48,4263#21,0
48,8106#0,0
48,264620#4,0
48,106071#20,0
48,6244#11,0
48,78060#2,0
48,71256#0,0
48,13581#30,0
49,3982#2,1
49,55437#40,0
49,4162#1,0
49,838#17,0
49,6922#8,0
49,104199#0,0
49,55291#0,0
49,27250#3,0
49,4032#10,0
49,340066#2,0
50,100166#7,1
50,286806#0,1
50,247668#8,1
50,7449#0,0
50,120174#3,0
50,13298#11,0
50,36579#8,0
50,290966#14,0
50,275565#0,0
50,109675#0,0
51,8335#6,1
51,2768#1,1
51,125321#0,1
51,15753#48,1
51,4402#9,0
51,3473#37,0
51,56196#0,0
51,413772#0,0
51,4468#16,0
51,327165#12,0
52,540381#1,1
52,4793#2,0
52,406947#0,0
52,18561#1,0
52,80663#10,0
52,173144#0,0
52,735#28,0
52,253112#4,0
52,68692#17,0
52,85928#2,0
52,194311#3,0
52,194311#8,0
52,194311#12,0
52,194311#13,0
52,194311#2,0
54,298687#0,1
54,289404#0,1
54,298687#2,1
54,266092#29,1
54,306326#1,0
54,266092#27,0
54,306326#26,0
54,266092#30,0
54,266092#0,0
54,266092#5,0
56,398918#0,1
56,398918#13,1
56,413921#6,1
56,398918#10,0
56,337640#59,0
56,398918#8,0
56,398918#12,0
56,144259#4,0
56,406914#4,0
56,398918#6,0
57,3876#19,1
57,4498#4,0
57,4400#0,0
57,4410#19,0
57,4426#0,0
57,8335#4,0
57,8335#3,0
57,247960#0,0
57,4490#17,0
57,8337#0,0
59,7071#0,1
59,3317#27,1
59,7071#11,1
59,177490#0,1
59,344687#5,0
59,7071#9,0
59,120997#10,0
59,91138#0,0
59,7071#1,0
59,41423#1,0
61,26136#0,1
61,123405#26,1
61,212114#2,1
61,11972#68,1
61,3160#35,1
61,14107#3,0
61,212114#4,0
61,123405#14,0
61,123405#17,0
61,33#57,0
62,249978#1,1
62,249978#5,1
62,249978#4,1
62,249978#0,1
62,249978#7,1
62,249978#22,0
62,249978#30,0
62,249978#6,0
62,146901#17,0
62,249978#8,0
63,13110#13,1
63,13110#0,1
63,13110#7,1
63,13110#12,0
63,13110#16,0
63,13110#15,0
63,13110#19,0
63,13153#3,0
63,13110#2,0
63,24449#4,0
64,64106#2,1
64,64106#17,1
64,86818#17,1
64,399228#7,1
64,82321#7,0
64,64106#0,0
64,64106#16,0
64,86818#1,0
64,82321#1,0
64,64106#3,0
66,206941#0,1
66,100022#19,1
66,146901#12,1
66,61988#25,1
66,100022#13,1
66,61988#27,0
66,61988#26,0
66,206941#11,0
66,206941#1,0
66,61988#11,0
67,4268#3,1
67,354615#0,1
67,4268#81,1
67,4268#1,1
67,4268#2,1
67,43571#0,0
67,4268#66,0
67,4268#50,0
67,4268#5,0
67,301711#0,0
68,211771#0,1
68,211771#1,0
68,211771#3,0
68,211771#13,0
68,211771#14,0
68,211771#8,0
68,211771#5,0
68,211771#15,0
68,211771#2,0
68,211771#9,0
69,13174#11,1
69,46562#0,1
69,43139#0,1
69,13174#22,0
69,13174#12,0
69,13174#9,0
69,13174#6,0
69,43153#1,0
69,43153#8,0
69,43139#3,0
70,363947#0,1
70,844#29,1
70,136614#10,1
70,2977#4,1
70,136614#2,0
70,136614#0,0
70,136614#5,0
70,136614#13,0
70,136614#8,0
70,13175#5,0
71,121664#1,1
71,121648#7,1
71,121664#9,1
71,121664#6,0
71,121645#9,0
71,121664#2,0
71,370270#4,0
71,121664#7,0
71,416068#14,0
71,121648#1,0
72,5474#46,1
72,82508#2,1
72,119268#28,0
72,184764#4,0
72,184764#12,0
72,184764#15,0
72,184764#22,0
72,184764#17,0
72,184764#13,0
72,184764#0,0
73,11388#0,1
73,13088#19,1
73,417157#1,1
73,93031#3,1
73,83827#2,0
73,13088#24,0
73,32388#8,0
73,84758#0,0
73,114642#0,0
73,32834#0,0
74,20089#1,1
74,19925#10,1
74,19925#1,1
74,19925#8,0
74,19925#5,0
74,211751#0,0
74,63645#0,0
74,19925#7,0
74,19925#4,0
74,101315#5,0
75,4067#44,1
75,146308#0,1
75,44135#0,1
75,39111#0,0
75,44135#10,0
