qid,docno,label
1,119071#0,1
1,119071#3,0
1,2782457#1,0
1,16471#25,0
1,2980682#0,0
1,763674#0,0
1,575115#1,0
1,4968#8,0
1,3648674#0,0
1,3317224#0,0
2,81983#5,1
2,260483#0,0
2,1468#6,0
2,81983#1,0
2,1219062#13,0
2,3323384#5,0
2,1588951#0,0
2,260483#1,0
2,1870099#2,0
2,124534#1,0
6,136578#0,1
9,1214905#10,1
9,1214905#0,0
9,707783#3,0
9,1688699#2,0
9,2391524#4,0
9,340887#1,0
9,3103411#5,0
9,939146#16,0
9,1214905#8,0
9,3233928#1,0
11,2033313#2,1
11,347109#15,1
11,347109#23,0
11,2517469#2,0
11,347109#25,0
11,347109#28,0
11,347109#11,0
11,347109#48,0
11,347109#39,0
11,3375080#14,0
13,341668#2,1
13,341668#6,0
13,341668#15,0
13,1644733#6,0
13,341668#14,0
13,2263475#1,0
13,341668#17,0
13,1932451#0,0
13,301125#11,0
13,246825#0,0
15,18858#5,1
15,18858#8,1
15,18858#6,1
15,18858#3,1
15,18858#7,0
15,18858#11,0
15,18858#17,0
15,18858#4,0
15,18858#15,0
15,18858#10,0
17,27277#8,1
17,27277#17,0
17,27277#9,0
17,27277#13,0
17,256016#1,0
17,2022509#6,0
17,2022509#3,0
17,138595#3,0
17,27277#18,0
17,233229#10,0
18,507175#4,1
18,507175#24,1
18,2098940#3,0
18,1995045#16,0
18,1167184#8,0
18,342161#8,0
18,3209537#18,0
18,397559#10,0
18,3143824#1,0
18,390923#1,0
19,447070#3,1
19,447070#2,1
19,447070#0,0
19,447070#5,0
19,447070#14,0
19,447070#6,0
19,2627658#1,0
19,447070#18,0
19,447070#4,0
19,447070#8,0
20,1586036#0,1
20,2458286#1,1
20,1586036#2,0
20,3099291#23,0
20,1586036#7,0
20,1586036#11,0
20,1588314#2,0
20,1586036#9,0
20,2458286#3,0
20,2800858#4,0
21,2605040#1,1
21,2095499#0,0
21,2095499#10,0
21,2334292#0,0
21,2095499#2,0
21,2605040#0,0
21,2334292#1,0
21,2095499#3,0
21,2095499#1,0
21,2386093#3,0
21,2500765#1,0
23,299001#0,1
23,299001#17,0
23,299001#32,0
23,299001#36,0
23,299001#34,0
23,299001#5,0
23,3621914#9,0
23,299001#33,0
23,299001#29,0
23,299001#14,0
24,3519065#0,1
24,3519065#3,0
24,3492538#10,0
24,3492538#1,0
24,3492538#0,0
24,311805#6,0
24,3492538#11,0
24,3492538#3,0
24,3492538#2,0
24,666011#6,0
25,3450768#0,1
25,3450768#7,0
25,3450768#2,0
25,765107#14,0
25,201614#14,0
25,3450768#6,0
25,3450768#8,0
25,3450768#19,0
25,1624861#0,0
25,3450768#56,0
27,49047#3,1
27,49047#0,1
27,49047#27,0
27,605449#8,0
27,2518575#1,0
27,1488780#0,0
27,1663505#2,0
27,3530438#1,0
27,215237#1,0
27,3733784#0,0
28,26689#0,1
28,291248#5,1
28,10219#18,0
28,26689#23,0
28,2743862#1,0
28,3049471#2,0
28,3077624#1,0
28,372362#1,0
28,145289#3,0
28,1399609#0,0
29,18260#11,1
29,18260#26,0
29,18260#37,0
29,18260#27,0
29,18260#36,0
29,1296169#4,0
29,885947#2,0
29,18260#16,0
29,18260#2,0
29,2691986#0,0
29,574411#2,0
31,42514#5,1
31,42514#0,1
31,42514#57,0
31,42514#22,0
31,42514#9,0
31,42514#62,0
31,42514#20,0
31,42514#1,0
31,42514#18,0
31,42514#4,0
32,869375#0,1
32,3600745#6,0
32,869375#1,0
32,896002#2,0
32,972130#6,0
32,26047#7,0
32,869375#2,0
32,343371#2,0
32,866264#0,0
32,387805#0,0
34,1350422#5,1
34,1350422#4,0
34,1350422#6,0
34,1524749#3,0
34,1350422#26,0
34,2819687#1,0
34,1350422#3,0
34,1360560#0,0
34,378527#9,0
34,37740#88,0
35,20252#8,1
35,20252#0,0
35,969903#3,0
35,301531#0,0
35,20252#5,0
35,1470962#1,0
35,44151#1,0
35,729246#1,0
35,20252#6,0
35,2999783#0,0
35,2408625#1,0
36,703473#2,1
36,297945#4,1
36,703473#3,0
36,1224220#2,0
36,1242020#61,0
36,3879446#20,0
36,3571239#8,0
36,2687093#2,0
36,3863167#2,0
36,3639#8,0
36,394313#12,0
36,297945#3,0
36,297945#2,0
36,297945#6,0
37,4310#4,1
37,1864744#198,1
37,293501#44,1
37,580733#5,1
37,1921822#3,1
37,4310#1,1
37,3280176#1,1
37,293501#0,1
37,3521234#17,0
37,173719#15,0
37,523929#16,0
38,408840#10,1
38,3593040#21,1
38,174295#11,1
38,3381880#12,0
38,309122#3,0
38,2763635#3,0
38,3381880#0,0
38,3593040#0,0
38,174295#0,0
38,408840#0,0
39,3521122#5,1
39,3521122#0,1
39,3521122#6,0
39,2054529#0,0
39,3526489#2,0
39,3521122#1,0
39,772544#1,0
39,135965#1,0
39,2688900#0,0
39,327364#0,0
40,3059#19,1
40,184529#5,1
40,7806#4,1
40,952562#39,0
40,7806#14,0
40,7807#10,0
40,302778#24,0
40,7806#18,0
40,743795#7,0
40,1860790#2,0
41,24460#82,1
41,381#74,1
41,35309#1,1
41,35309#66,1
41,24245#11,0
41,35309#70,0
41,1347054#8,0
41,14465#46,0
41,35309#4,0
41,1347054#1,0
42,91994#0,1
42,91994#24,0
42,91994#23,0
42,91994#26,0
42,91994#14,0
42,91994#11,0
42,91994#20,0
42,42885#104,0
42,3626422#2,0
42,91994#5,0
43,2116218#31,1
43,1317867#12,1
43,1317867#0,1
43,1317867#1,0
43,1317867#14,0
43,1317867#15,0
43,1317867#60,0
43,1317867#83,0
43,1317867#44,0
43,1317867#84,0
43,1317867#69,0
43,1317867#64,0
43,1317867#68,0
43,1317867#57,0
44,1137512#55,1
44,1137512#3,1
44,414342#3,1
44,1137512#26,0
44,1137512#71,0
44,1137512#43,0
44,1137512#16,0
44,1137512#18,0
44,1137512#82,0
44,1137512#87,0
44,1137512#47,0
44,414342#19,0
44,414342#16,0
44,414342#15,0
45,1889745#0,1
45,1889745#3,0
45,2917901#2,0
45,1889085#221,0
45,1889085#220,0
45,417378#7,0
45,1889745#14,0
45,1889745#10,0
45,1889085#150,0
45,1889085#138,0
46,3259263#0,1
46,3259263#4,0
46,3259263#10,0
46,663889#2,0
46,9110#7,0
46,3259263#1,0
46,3259263#6,0
46,405714#4,0
46,3259263#3,0
46,9110#9,0
47,8132#6,1
47,553216#0,1
47,8132#0,0
47,1595703#2,0
47,3885224#12,0
47,6970#11,0
47,19277#2,0
47,2703812#3,0
47,1537989#1,0
47,48684#15,0
50,167527#2,1
50,1853594#3,0
50,129940#1,0
50,654243#64,0
50,531162#7,0
50,110886#5,0
50,1877496#0,0
50,209399#3,0
50,3523499#0,0
50,1839530#0,0
50,3706442#0,0
51,1359367#0,1
51,67309#19,0
51,550163#0,0
51,3065313#2,0
51,216531#18,0
51,789204#2,0
51,389997#2,0
51,1137945#1,0
51,1852183#3,0
51,67309#20,0
51,1562220#2,0
52,2904958#15,1
52,1681838#4,1
52,636481#0,1
52,11841#11,0
52,1390125#3,0
52,508667#4,0
52,44024#3,0
52,1681838#1,0
52,279181#28,0
52,281566#3,0
52,279181#1,0
52,279181#48,0
53,177337#5,1
53,177337#21,0
53,177337#52,0
53,487406#38,0
53,487406#1,0
53,190056#28,0
53,190517#28,0
53,190897#19,0
53,217611#23,0
