qid,docno,label
1,2183682#1,1
1,770018#0,0
1,1517883#7,0
1,6447618#3,0
1,2366428#1,0
1,2298399#1,0
1,4214942#0,0
1,1973106#1,0
1,1978427#1,0
1,1937636#2,0
4,1534585#0,1
4,1534585#40,0
4,1534585#29,0
4,1534585#21,0
4,1534585#88,0
4,1534585#81,0
4,1534585#78,0
4,1534585#95,0
4,1534585#92,0
4,1534585#82,0
6,4811421#0,1
6,4811421#6,0
11,182190#24,1
11,6406533#10,0
11,3722813#6,0
11,1630238#2,0
11,1822589#1,0
11,182190#50,0
11,6634808#6,0
11,6055594#5,0
11,57001#2,0
11,1682677#0,0
11,5156142#1,0
12,794011#29,1
12,794011#34,1
12,111122#5,1
12,1871#4,1
12,794011#10,1
12,794011#26,1
12,794011#1,1
12,1871#71,0
12,2087315#9,0
12,794011#52,0
12,794011#51,0
13,507301#1,1
13,507301#2,0
13,507301#5,0
13,507301#7,0
13,507301#8,0
13,6129502#2,0
13,2361420#1,0
13,5194672#0,0
13,1295895#0,0
13,11522#165,0
15,80581#1,1
15,80581#0,0
15,80581#73,0
15,80581#45,0
15,80581#134,0
15,80581#95,0
15,80581#66,0
15,80581#103,0
15,30841#50,0
15,80581#138,0
17,13903#6,1
17,13903#0,1
17,5164588#1,0
17,4902663#15,0
17,3190058#2,0
17,1931885#1,0
17,212390#1,0
17,633846#1,0
17,3729567#1,0
17,3713180#1,0
17,2077980#1,0
18,3124874#0,1
18,2198585#0,1
18,942928#0,0
18,3124874#11,0
18,194423#11,0
18,155302#1,0
18,942928#8,0
18,194423#16,0
18,3124874#5,0
18,5381525#4,0
21,369309#2,1
21,3982364#6,1
21,369309#63,0
21,3788190#84,0
21,7327378#2,0
21,3788190#32,0
21,1694#0,0
21,3895942#2,0
21,3788190#31,0
21,7566507#1,0
22,4589626#1,1
22,4589626#0,1
22,4589626#42,0
22,4589626#44,0
22,4589626#39,0
22,4589626#43,0
22,4328394#23,0
22,4589626#15,0
22,4589626#36,0
22,4589626#6,0
24,17485#73,1
24,17485#72,1
24,17485#70,1
24,17485#78,1
24,17485#71,1
24,17485#1,1
24,17485#0,0
24,17485#60,0
24,1298975#11,0
24,4986145#0,0
24,17485#74,0
25,837#16,1
25,847#0,1
25,1343736#4,1
25,345#40,1
25,5331#6,0
25,3823858#0,0
25,222785#69,0
25,2511332#3,0
25,24176#6,0
25,373074#11,0
26,3025397#0,1
26,3025397#8,1
26,3025397#4,1
26,3025397#21,1
26,3025397#22,0
26,3025397#23,0
26,3025397#18,0
26,3025397#26,0
26,3025397#17,0
26,3025397#29,0
27,4899780#0,1
27,158375#35,1
27,4899709#0,1
27,158362#6,0
27,4502105#0,0
27,1032522#11,0
27,4544024#0,0
27,158301#1,0
27,4828736#0,0
27,4912994#0,0
29,1999378#0,1
29,4475081#1,0
29,4475081#4,0
29,3294501#0,0
29,4474776#0,0
29,4474687#2,0
29,4474750#0,0
29,3133218#2,0
29,2401139#37,0
29,7731936#0,0
30,22931#22,1
30,22931#9,1
30,22931#0,0
30,22931#29,0
30,4382451#19,0
30,22931#19,0
30,22931#23,0
30,22931#13,0
30,247985#1,0
30,4382451#53,0
30,2526567#2,0
31,53785#1,1
31,53784#9,1
31,53785#26,0
31,53785#3,0
31,53785#35,0
31,53785#0,0
31,1866607#1,0
31,4971388#0,0
31,53785#2,0
31,53785#11,0
32,84848#2,1
32,42164#2,1
32,173851#11,1
32,629925#0,0
32,258100#1,0
32,258100#4,0
32,3200931#0,0
32,629925#1,0
32,258100#12,0
32,109332#0,0
34,18935#10,1
34,6845444#7,1
34,2206102#52,1
34,2206102#54,1
34,6845444#8,1
34,18935#0,1
34,2973219#1,0
34,2978687#1,0
34,6845444#12,0
34,33299#1,0
34,3814058#2,0
35,663882#0,1
35,663882#22,1
35,663879#7,1
35,1684828#4,1
35,3671471#11,0
35,663882#20,0
35,663882#7,0
35,663882#18,0
35,372488#2,0
35,6983316#4,0
38,45471#3,1
38,22686#3,0
38,2329585#1,0
38,6819657#2,0
38,39668#34,0
38,2674311#1,0
38,3291752#12,0
38,5905780#7,0
38,211666#4,0
38,2046939#13,0
39,104463#26,1
39,14829#3,0
39,4710841#2,0
39,2784479#87,0
39,5460755#15,0
39,104463#9,0
39,4903964#7,0
39,5789045#7,0
39,786243#0,0
39,104463#29,0
40,3591444#2,1
40,3591444#0,1
40,51615#5,1
40,3591444#10,1
40,3591444#30,0
40,3591444#33,0
40,885051#0,0
40,885051#90,0
40,3591444#20,0
40,3591444#7,0
41,382199#0,1
41,382199#52,1
41,382199#9,1
41,382199#54,1
41,382199#1,1
41,382199#3,1
41,393285#0,1
41,382199#10,0
41,382199#11,0
41,382199#4,0
41,1208499#37,0
42,827#106,1
42,827#1,1
42,7423#1,0
42,81005#6,0
42,4602207#3,0
42,81003#5,0
42,53691#1,0
42,53691#4,0
42,92775#4,0
42,4602207#5,0
42,7423#5,0
43,465186#10,1
43,500018#11,0
43,465186#28,0
43,465186#34,0
43,500018#6,0
43,465186#59,0
43,693016#1,0
43,465186#47,0
43,465186#48,0
43,465186#78,0
44,74845#2,1
44,6044#33,1
44,7505374#1,1
44,9550#7,1
44,2921242#0,0
44,7505374#0,0
44,9550#30,0
44,9550#104,0
44,3942214#3,0
44,143064#0,0
44,1514124#0,0
44,9550#24,0
45,13186#11,1
45,3758519#2,1
45,164115#1,1
45,13186#2,1
45,34559#21,1
45,8600#10,1
45,13186#8,1
45,13186#0,1
45,197200#0,0
45,13186#10,0
45,4301176#1,0
46,31089#6,1
46,1386189#4,1
46,236982#2,0
46,1386189#5,0
46,1102006#0,0
46,2145868#0,0
46,1351516#0,0
46,31089#7,0
46,753449#2,0
46,7371949#3,0
46,1500215#0,0
47,52655#28,1
47,52655#3,1
47,52655#40,1
47,52655#35,1
47,175787#0,1
47,1654206#1,0
47,52655#48,0
47,686154#1,0
47,16445#6,0
47,52655#2,0
49,65546#3,1
50,72241#0,1
51,6822877#21,1
52,1168202#0,1
53,46193#5,1
53,46193#17,0
53,46193#15,0
54,7241117#0,1
55,4416024#5,1
57,346830#0,1
58,14097#2,1
60,375824#1,1
61,24753#0,1
70,32721#2,1
71,77015#0,1
74,706305#21,1
76,633388#2,1
79,5716378#0,1
82,3268626#0,1
83,124418#0,1
84,44997#0,1
85,345480#0,1
86,85369#0,1
87,24738#40,1
88,2389563#11,1
89,1334542#3,1
91,659227#16,1
93,39620#12,1
94,28863#6,1
95,174270#1,1
96,4030#2,1
97,320311#0,1
98,1998666#3,1
100,32290#0,1
100,2387444#0,0
100,4841894#1,0
100,4805031#0,0
100,32290#17,0
100,123006#0,0
100,1857712#2,0
100,41423#11,0
100,171061#16,0
101,1394199#7,1
101,4509076#45,0
101,7751534#0,0
101,7761118#11,0
101,7400662#0,0
101,7756128#7,0
101,5294483#0,0
101,81814#56,0
101,7756128#0,0
101,7751534#5,0
101,7400662#5,0
103,95856#67,1
103,1228593#26,1
103,133330#14,1
103,3214507#7,0
103,243207#47,0
103,95856#218,0
103,95856#151,0
103,133330#30,0
103,133330#26,0
103,554039#13,0
103,578986#22,0
104,34973#0,1
104,1206068#30,1
104,34973#1,1
104,103909#0,1
104,103909#11,1
104,34973#10,1
104,103909#26,1
104,103909#41,1
104,34973#11,1
104,5127830#0,0
105,1559492#1,1
105,44746#5,0
