qid,docno,label
0,254561#0,1
0,9572#1,0
2,34783#28,1
2,34783#0,0
2,325124#2,0
2,34783#35,0
2,101524#1,0
2,34783#31,0
2,34783#10,0
2,34783#36,0
2,34783#33,0
2,34783#8,0
3,1123845#0,1
3,286815#0,1
3,286815#2,0
3,286815#1,0
3,1365433#0,0
3,286815#3,0
3,286583#0,0
3,286815#5,0
3,38066#15,0
3,224048#0,0
4,5522#1,1
5,5877#0,1
6,13690#0,1
7,44552#0,1
8,804794#0,1
9,37218#0,1
10,357229#0,1
11,64674#1,1
13,20544#2,1
14,1349241#0,1
15,56776#1,1
15,56776#0,1
15,472326#1,0
15,472326#0,0
15,56776#9,0
15,56776#8,0
15,56776#11,0
15,56776#4,0
15,56776#6,0
15,56776#5,0
16,22534#24,1
16,1491374#0,0
16,22534#0,0
16,22534#1,0
16,22534#2,0
16,22534#14,0
16,1464283#0,0
16,1452665#0,0
16,1466552#0,0
16,1475142#0,0
17,690580#0,1
17,39095#47,0
17,15051#0,0
17,39095#10,0
17,1055#2,0
17,15051#32,0
17,949462#0,0
17,15051#38,0
17,270919#0,0
17,15051#6,0
18,254756#0,1
18,12598#1,1
18,1311538#3,1
18,254752#0,0
18,252512#0,0
18,1320481#14,0
18,1320481#0,0
18,1459938#3,0
18,1279620#41,0
18,1396121#4,0
20,6833#2,1
20,6833#0,1
20,38706#1,0
20,6833#4,0
20,38706#3,0
20,6833#16,0
20,6833#3,0
20,281100#4,0
20,35672#11,0
20,6833#19,0
21,337823#0,1
21,89711#2,0
21,833138#3,0
21,364350#4,0
21,395658#1,0
21,97333#8,0
21,493864#12,0
21,1413001#2,0
21,752679#1,0
21,394914#0,0
21,757192#3,0
22,554844#0,1
22,554844#2,1
22,554844#1,0
22,554844#3,0
22,554844#12,0
22,554844#11,0
22,554844#6,0
22,554844#4,0
22,657374#1,0
22,88678#1,0
23,111100#2,1
23,1359828#1,0
23,111100#11,0
23,111100#1,0
23,111100#9,0
23,111100#4,0
23,1101962#2,0
23,625829#1,0
23,167975#3,0
23,1032776#1,0
24,280885#0,1
24,28678#6,1
24,975504#1,1
24,463937#77,1
24,79456#0,1
24,28678#0,1
24,49131#100,0
24,225047#0,0
24,914108#0,0
24,40525#3,0
24,28678#1,0
25,222201#0,1
25,984262#5,0
25,63060#0,0
25,587565#20,0
25,1315327#7,0
25,27746#4,0
25,845805#0,0
25,763561#0,0
25,13226#0,0
25,235323#0,0
25,116470#0,0
26,69#3,1
26,922661#2,0
26,69#19,0
26,1066020#0,0
26,434863#2,0
26,69#42,0
26,69#4,0
26,69#39,0
26,732724#11,0
26,69#50,0
26,69#12,0
27,4775#1,1
27,12350#4,1
27,4775#0,0
27,4775#2,0
27,876758#1,0
27,23043#4,0
27,4775#7,0
27,1011856#1,0
27,1272656#0,0
27,929845#0,0
28,13269#0,1
28,13226#7,0
28,191654#4,0
28,789#2,0
28,48812#4,0
28,1112671#1,0
28,8768#5,0
28,682592#21,0
28,256663#5,0
28,676143#1,0
28,184164#8,0
29,296956#1,1
29,296956#0,0
29,296956#19,0
29,296956#6,0
29,1049994#1,0
29,296956#18,0
29,28433#3,0
29,296956#16,0
29,296956#15,0
29,468403#0,0
30,20414#6,1
30,307524#1,1
30,20414#29,1
30,20414#8,0
30,145486#3,0
30,985795#1,0
30,116382#0,0
30,8905#5,0
34,29945#1,1
34,29944#0,1
34,234401#2,1
34,192972#0,0
34,234401#0,0
34,73192#0,0
34,28695#1,0
34,55170#1,0
34,29945#5,0
34,94615#0,0
34,167441#0,0
36,1173696#1,1
37,301663#0,1
39,1309484#1,1
40,791207#2,1
41,1206344#7,1
42,899503#31,1
44,168132#0,1
46,461736#2,1
47,16945#1,1
48,6042#26,1
49,14149#0,1
50,1180645#0,1
51,40204#0,1
54,23741#0,1
55,776476#3,1
56,28793#0,1
57,175289#1,1
58,1150#0,1
59,571049#11,1
60,1084795#0,1
61,41214#0,1
62,680869#0,1
64,131333#0,1
65,16962#0,1
66,1077223#0,1
67,43981#0,1
68,305128#0,1
69,43129#0,1
70,1013691#0,1
71,37717#0,1
72,85412#7,1
74,44055#0,1
75,521862#0,1
77,7698#19,1
78,11913#0,1
79,392424#4,1
80,209138#0,1
81,15543#0,1
82,15387#0,1
83,186954#0,1
84,11803#0,1
86,1490320#1,1
87,64227#0,1
88,625418#0,1
89,152593#4,1
90,48779#0,1
91,735144#0,1
93,24448#0,1
94,174675#0,1
95,9544#9,1
96,1424397#0,1
98,286591#2,1
100,387742#6,1
101,5959#0,1
103,19063#0,1
104,61134#1,1
105,3776#1,1
106,381543#0,1
107,172094#0,1
108,32035#25,1
109,5874#110,1
110,428764#0,1
113,640215#1,1
114,1092#75,1
115,8671#0,1
116,360665#0,1
118,29594#2,1
119,1338#0,1
121,735962#1,1
124,224829#13,1
125,35942#1,1
126,94302#0,1
128,196178#2,1
129,28809#0,1
130,36279#9,1
131,534443#0,1
132,332641#0,1
133,8667#0,1
135,64983#0,1
136,867622#17,1
137,1276362#0,1
138,8652#2,1
139,197#4,1
140,394117#0,1
141,1010311#0,1
143,38048#0,1
144,5524#17,1
145,1314443#2,1
145,1314443#1,1
145,1314443#0,0
145,1332#6,0
145,1314443#7,0
145,1314443#3,0
145,1314443#6,0
145,1314443#5,0
145,1156335#0,0
145,702124#2,0
147,26621#5,1
147,26621#2,0
147,26621#6,0
147,26621#0,0
147,26621#8,0
147,955306#0,0
147,383053#25,0
147,26621#23,0
147,26621#7,0
147,383053#0,0
148,937666#1,1
148,1276349#6,1
148,182738#1,0
148,937666#12,0
148,62608#1,0
148,937666#0,0
148,665325#1,0
148,1032949#12,0
148,937666#8,0
148,937666#14,0
149,6578#18,1
149,6578#15,1
149,584660#1,1
149,6578#0,1
149,6578#26,0
149,6578#20,0
149,71850#4,0
149,26958#0,0
149,26958#5,0
149,26958#6,0
149,417325#8,0
150,115310#15,1
150,115310#0,1
150,115310#8,0
150,115310#11,0
150,115310#5,0
150,115310#14,0
150,115310#1,0
150,115310#7,0
150,115310#4,0
150,65883#1,0
152,6814#1,1
152,835730#0,0
152,1443263#4,0
152,991102#2,0
152,16493#1,0
152,1443263#2,0
152,6814#0,0
152,991102#1,0
152,6814#7,0
152,6616#4,0
153,108391#0,1
153,347388#6,1
153,108391#3,0
153,108391#2,0
153,1492601#0,0
153,108391#1,0
153,1329667#0,0
153,522071#0,0
153,1216975#0,0
153,1116496#3,0
154,376129#0,1
154,27593#9,1
154,78838#20,1
154,376129#2,1
154,78838#2,1
154,1316239#8,0
154,373192#0,0
154,376129#11,0
154,376129#10,0
154,78838#22,0
155,96742#0,1
155,14665#35,1
155,1098934#0,1
155,96742#2,0
155,96742#1,0
155,96742#3,0
155,39926#10,0
155,153759#0,0
155,147520#5,0
155,14665#39,0
156,583493#33,1
156,72381#8,1
156,72381#2,1
156,605492#12,1
156,16980#10,1
156,1098503#63,1
156,853368#7,1
156,16980#0,1
156,958817#7,0
156,16980#11,0
156,16980#6,0
157,1285947#0,1
157,1285936#0,0
157,1350892#0,0
157,1288270#0,0
157,211785#2,0
157,1285947#2,0
157,1288273#1,0
157,1405183#0,0
157,1346352#0,0
157,1285947#1,0
158,537176#2,1
158,537176#0,0
158,537176#3,0
158,537176#18,0
158,537176#8,0
158,537176#20,0
158,537176#7,0
158,537176#17,0
158,537176#16,0
158,537176#15,0
160,441717#1,1
160,441717#0,1
160,441717#5,0
160,1280033#0,0
160,1108600#0,0
160,441717#7,0
160,576821#34,0
160,441717#4,0
160,441717#2,0
160,441717#12,0
162,72381#26,1
162,53826#26,0
162,53826#6,0
162,97442#11,0
162,755#23,0
162,72381#25,0
162,356174#0,0
162,580999#8,0
162,46858#4,0
162,580999#1,0
162,1176022#1,0
163,998385#0,1
163,998385#3,0
163,998385#1,0
163,261091#0,0
163,1112399#1,0
163,1448348#1,0
163,38719#0,0
163,189625#8,0
163,998385#4,0
163,998385#2,0
164,16542#0,1
164,227294#8,1
164,1295#4,1
164,16542#8,1
164,16542#2,1
164,1181336#1,0
164,4989#4,0
164,16542#18,0
164,1344715#0,0
164,16542#20,0
164,6737#14,0
165,1285877#4,1
165,1285877#0,0
165,1285877#13,0
165,1285877#1,0
165,1285877#6,0
165,1196851#2,0
165,248917#3,0
165,441308#0,0
165,199608#1,0
165,1124828#3,0
167,78838#11,1
167,78838#1,1
167,6934#5,0
167,32533#11,0
167,6478#5,0
167,325#7,0
167,727236#5,0
167,724986#4,0
167,6431#5,0
167,78838#12,0
168,457398#0,1
168,1147409#0,0
168,601079#0,0
168,604359#0,0
168,157621#0,0
168,11047#4,0
168,457323#0,0
168,970#16,0
168,315912#0,0
168,1333203#0,0
169,256#9,1
169,256#8,1
169,256#24,0
169,256#1,0
169,256#6,0
169,256#13,0
169,256#4,0
169,256#14,0
169,256#5,0
169,256#0,0
169,256#10,0
171,67800#2,1
171,67800#0,1
171,67800#8,1
171,67800#6,0
171,67800#7,0
171,67800#1,0
171,67800#5,0
171,809254#0,0
171,530115#2,0
171,580993#4,0
173,41886#1,1
173,41886#0,1
173,41886#5,1
173,41886#3,1
173,41886#2,0
173,41886#6,0
173,41886#4,0
173,34315#11,0
173,37244#1,0
173,34315#10,0
176,193446#0,1
