qid,docno,label
231591#0,821311#0,1
231591#0,104#0,1
231591#0,1116148#0,1
231591#0,906229#0,1
231591#0,663842#0,1
231591#0,83123#0,1
231591#0,104#9,1
231591#0,82232#0,1
231591#0,59#39,1
231591#0,1698#0,0
230520#0,11666#0,1
230520#0,11666#8,0
230520#0,11666#25,0
230520#0,11666#3,0
230520#0,11666#1,0
230520#0,676976#0,0
230520#0,11666#33,0
230520#0,11666#10,0
230520#0,676976#2,0
230520#0,11666#14,0
181854#0,23663#1,1
181854#0,36317#0,1
181854#0,21116#1,1
181854#0,38627#0,1
181854#0,432229#4,1
181854#0,1261479#0,1
181854#0,592452#1,0
181854#0,66408#1,0
181854#0,8564#0,0
181854#0,193737#10,0
52964#0,675532#1,1
52964#0,675061#2,1
52964#0,220494#64,1
52964#0,248959#7,1
52964#0,180029#69,1
52964#0,1026627#6,1
52964#0,1086875#1,1
52964#0,675532#0,0
52964#0,675532#2,0
52964#0,675734#1,0
1350444#0,472972#0,1
1350444#0,771#6,1
1350444#0,981758#0,1
1350444#0,1051393#1,0
1350444#0,519185#13,0
1350444#0,1106812#0,0
1350444#0,8761#8,0
1350444#0,978143#7,0
1350444#0,13286#1,0
1350444#0,1051386#2,0
190292#0,1259132#7,1
190292#0,1085012#0,0
190292#0,193642#23,0
190292#0,872299#0,0
190292#0,670734#4,0
190292#0,1426#4,0
190292#0,1426#3,0
190292#0,736654#4,0
190292#0,872299#2,0
190292#0,62428#29,0
700407#0,193122#32,1
700407#0,220449#6,0
700407#0,193122#36,0
700407#0,193122#1,0
700407#0,193122#46,0
700407#0,193122#0,0
700407#0,193122#45,0
700407#0,470703#12,0
700407#0,436467#51,0
700407#0,193122#12,0
231437#0,5008#4,1
231437#0,5008#6,0
231437#0,1103020#1,0
231437#0,5008#3,0
231437#0,5008#0,0
231437#0,59#1,0
231437#0,5008#2,0
231437#0,181617#8,0
231437#0,5008#9,0
231437#0,181617#6,0
427625#0,432856#5,1
427625#0,68877#0,1
427625#0,864#0,0
427625#0,12709#0,0
427625#0,261827#14,0
427625#0,864#1,0
427625#0,459208#1,0
427625#0,548660#2,0
427625#0,221118#17,0
427625#0,864#5,0
5138#0,28827#1,1
5138#0,54#28,1
5138#0,211583#16,1
5138#0,1552#2,1
5138#0,105582#8,1
5138#0,2220#70,1
5138#0,54#0,0
5138#0,932#11,0
5138#0,3426#12,0
5138#0,163905#0,0
186422#0,46430#0,1
186422#0,976234#1,1
186422#0,1561#8,1
186422#0,190212#17,0
186422#0,20530#7,0
186422#0,71393#1,0
186422#0,106207#0,0
186422#0,606722#0,0
186422#0,5001#10,0
186422#0,1004099#0,0
474035#0,36893#0,1
474035#0,603550#0,1
474035#0,938234#0,1
474035#0,1269245#0,0
474035#0,100575#12,0
474035#0,144962#0,0
474035#0,938234#6,0
474035#0,1135630#0,0
474035#0,472026#0,0
474035#0,603550#1,0
1228650#0,261827#21,1
1228650#0,626873#1,0
1228650#0,614626#1,0
1228650#0,1121055#0,0
1228650#0,8553#2,0
1228650#0,1121055#1,0
1228650#0,261827#20,0
1228650#0,1334917#3,0
1228650#0,261827#19,0
1228650#0,755515#10,0
788825#0,888483#0,1
788825#0,980600#0,0
788825#0,669522#40,0
788825#0,59#54,0
788825#0,64783#1,0
788825#0,2285#0,0
788825#0,250206#11,0
788825#0,34444#0,0
788825#0,568785#0,0
788825#0,3126#0,0
464617#0,10748#0,1
464617#0,71959#0,0
464617#0,8907#0,0
464617#0,10748#2,0
464617#0,462802#0,0
464617#0,700999#0,0
464617#0,700994#1,0
464617#0,3326#0,0
464617#0,497265#0,0
464617#0,460720#0,0
24380#0,211583#16,1
24380#0,100191#1,1
24380#0,44756#0,0
24380#0,718604#1,0
24380#0,2795#3,0
24380#0,3423#19,0
24380#0,465797#0,0
24380#0,5106#1,0
24380#0,248316#27,0
24380#0,1552#2,0
230070#0,908601#3,1
230070#0,1065973#7,1
230070#0,1065973#9,1
230070#0,885254#1,1
230070#0,120#0,1
230070#0,11613#1,0
230070#0,6664#0,0
230070#0,214083#24,0
230070#0,6699#0,0
230070#0,70651#2,0
2474#0,1838#1,1
2474#0,20853#1,1
2474#0,1838#34,1
2474#0,1838#6,0
2474#0,6360#0,0
2474#0,6360#10,0
2474#0,6360#9,0
2474#0,6360#2,0
2474#0,6360#11,0
2474#0,6360#1,0
217167#0,2920#46,1
217167#0,2920#44,0
217167#0,2920#45,0
217167#0,2920#27,0
217167#0,2920#16,0
217167#0,2920#58,0
217167#0,2920#40,0
217167#0,2920#5,0
217167#0,2920#36,0
217167#0,2920#88,0
1109197#0,1108055#0,1
1109197#0,106049#5,1
1109197#0,826#3,1
1109197#0,909#0,1
