qid,docno,label
1,26569#0,1
1,902040#0,0
1,26569#3,0
1,142560#0,0
1,3104943#2,0
1,1492206#1,0
1,4987757#6,0
1,4614183#1,0
1,284215#0,0
1,26569#4,0
2,3586#0,1
3,330822#0,1
5,181300#0,1
6,190026#0,1
7,924247#0,1
8,580219#0,1
10,47732#3,1
10,4832002#0,0
10,47732#4,0
10,3578344#0,0
10,47732#0,0
10,47732#12,0
10,37183#3,0
10,1827639#1,0
10,47852#5,0
10,1559700#7,0
11,1596701#0,1
11,1596701#1,1
11,1596701#6,0
11,1596701#7,0
11,1596701#19,0
11,1465806#32,0
11,1596701#22,0
11,1596701#5,0
11,1596701#8,0
11,1596701#17,0
12,1086778#0,1
12,1086778#9,1
12,1086778#8,0
12,4612820#0,0
12,1086778#7,0
12,2365884#0,0
12,627972#2,0
12,4984382#0,0
12,1086778#2,0
12,3235375#0,0
13,4140332#0,1
13,31413#18,0
13,65351#17,0
13,19722#39,0
13,31062#4,0
13,1289556#0,0
13,1289544#0,0
13,2810213#4,0
13,31413#19,0
13,1636219#2,0
14,617431#0,1
15,55317#0,1
16,521226#0,1
17,182175#0,1
18,3862#0,1
19,31267#0,1
20,2858285#0,1
20,2858285#12,1
20,2858285#16,1
20,2858285#9,1
20,2858285#15,1
20,2858285#6,1
20,2858285#7,1
20,2858285#1,1
22,453057#0,1
23,237972#0,1
24,731769#14,1
25,59530#0,1
26,311809#0,1
27,39317#0,1
28,3886#0,1
33,530362#0,1
36,943018#1,1
36,943018#0,0
37,130844#0,1
38,2099501#2,1
39,1382#0,1
40,2276249#0,1
41,26862#5,1
43,266834#8,1
44,26436#0,1
45,2669089#0,1
46,3074868#0,1
48,30606#7,1
49,3013#6,1
50,731769#0,1
51,3871#0,1
53,1048463#1,1
54,2005488#0,1
55,1477306#1,1
56,125720#0,1
58,47000#2,1
59,32276#0,1
61,3886#0,1
62,18480#3,1
63,2979055#0,1
64,149040#0,1
66,10531#0,1
68,94885#0,1
69,118539#12,1
71,498390#36,1
71,498390#28,1
71,498390#7,0
72,8657#8,1
74,4678363#0,1
75,460730#0,1
76,1389#1,1
78,4958633#0,1
79,627423#0,1
80,40283#0,1
81,731769#2,1
82,11439#0,1
83,347422#0,1
86,41294#1,1
87,3260472#0,1
89,348803#0,1
90,116201#0,1
91,1593618#0,1
92,6938#1,1
94,730463#0,1
94,730463#1,0
94,730463#4,0
95,2611#0,1
96,30275#0,1
99,391798#0,1
99,391798#7,0
99,391798#5,0
100,37538#3,1
100,2723825#50,0
100,11268#88,0
100,1768558#12,0
100,5138080#3,0
100,1415#84,0
100,3573756#3,0
100,11268#90,0
100,37538#21,0
100,4085571#1,0
100,2401049#12,0
101,103883#0,1
101,103883#5,0
101,555798#1,0
101,155106#7,0
101,3924745#2,0
101,889816#1,0
101,538432#0,0
101,130007#0,0
101,602372#4,0
101,155106#4,0
101,103883#35,0
102,591633#0,1
102,591633#22,1
102,591633#21,0
102,549288#7,0
102,549288#14,0
102,591633#16,0
102,4202148#8,0
102,41233#19,0
102,1839082#2,0
102,591633#8,0
103,5882#4,1
105,9127#0,1
105,9127#5,0
105,2992861#0,0
105,4678298#30,0
105,2989894#2,0
105,2794929#0,0
105,9127#1,0
105,1124061#8,0
105,16197#7,0
105,4764998#0,0
106,381624#0,1
106,468087#2,0
106,1084947#0,0
106,997662#0,0
106,940214#0,0
106,1315808#1,0
106,3247357#0,0
106,2006603#0,0
106,1664877#0,0
106,893355#1,0
109,1277186#0,1
109,3008981#0,1
109,718048#10,1
109,3008998#0,1
109,11885#0,1
109,20580#5,0
109,1506974#5,0
109,2176901#0,0
109,1506974#8,0
109,2176901#3,0
111,1769623#0,1
111,1769623#1,1
111,1855#0,1
111,3267806#4,0
111,1218920#4,0
111,598814#1,0
111,875694#0,0
111,2276#40,0
111,1855#4,0
111,2550556#64,0
113,56403#1,1
113,56403#0,1
113,56403#13,1
113,4613630#8,1
113,56403#28,0
113,3441228#5,0
113,3647383#1,0
113,56403#16,0
113,3922#19,0
113,3646705#13,0
114,321666#1,1
114,321666#0,1
114,3558824#0,0
114,3251213#0,0
114,9400#42,0
114,3134179#4,0
114,1231017#0,0
114,2086526#0,0
114,2709508#0,0
114,1976790#0,0
115,168143#9,1
115,4422271#9,1
115,4422271#3,1
115,163686#0,1
115,3538491#2,0
115,4606059#8,0
115,1995353#2,0
115,142578#2,0
115,409953#3,0
115,3092047#1,0
116,172041#0,1
116,275629#0,0
116,329430#0,0
116,7179#32,0
116,2447355#63,0
116,172041#15,0
116,1470471#5,0
116,950658#34,0
116,16594#3,0
116,886098#47,0
116,172041#8,0
116,172041#13,0
117,118367#0,1
119,273190#0,1
119,22417#7,1
119,12011#0,0
119,3948026#1,0
119,3948026#5,0
119,3412416#2,0
119,3454365#2,0
119,148449#0,0
119,606970#4,0
119,606970#2,0
120,1547903#0,1
120,414150#1,0
120,5127#8,0
120,494425#6,0
120,457470#22,0
120,63475#3,0
120,1474075#0,0
120,2652775#2,0
120,3647559#1,0
120,494425#0,0
121,43650#8,1
121,98538#1,1
121,190371#17,0
121,4965760#0,0
121,3259732#0,0
121,861442#0,0
121,2100473#6,0
121,1125377#1,0
121,4948727#6,0
121,98538#0,0
122,2994179#10,1
122,3010369#6,1
122,21220#36,0
122,150177#14,0
122,1267891#0,0
122,2999217#102,0
122,272470#0,0
122,618712#0,0
122,3832533#1,0
122,3098959#6,0
122,2994179#6,0
123,7126#0,1
123,37847#2,0
123,7126#1,0
123,7126#2,0
123,7126#10,0
123,7126#3,0
123,53213#32,0
123,1476155#0,0
123,7126#5,0
123,37491#7,0
124,534924#0,1
124,534924#9,0
124,534924#4,0
124,534924#11,0
124,5207164#0,0
124,534924#12,0
124,534924#6,0
124,171123#0,0
124,534924#5,0
124,2549571#0,0
127,45937#0,1
128,2149#29,1
128,527142#42,1
128,527142#2,1
128,199687#5,1
128,298445#17,0
128,5148253#1,0
128,527142#40,0
128,3170181#2,0
128,527142#1,0
128,527142#22,0
128,1989890#9,0
129,1694469#0,1
129,1694469#2,1
129,1694469#1,0
129,4382558#0,0
129,1297963#0,0
129,1894975#0,0
129,1668362#0,0
129,4826559#1,0
129,3647753#0,0
129,1593903#0,0
130,7554#0,1
131,1922461#0,1
131,29181#4,1
131,1529154#0,0
131,22533#0,0
131,22533#2,0
131,1529137#0,0
131,1922461#2,0
131,22533#4,0
131,1922461#1,0
131,3015063#0,0
132,457470#0,1
132,457470#6,1
132,2865772#0,0
132,457470#1,0
132,457359#0,0
132,309527#1,0
132,1821438#0,0
132,457470#10,0
132,457470#7,0
132,454592#0,0
132,949407#0,0
133,120942#0,1
133,120942#4,0
133,249886#1,0
133,118645#5,0
133,3582952#0,0
133,1532266#0,0
133,1001269#35,0
133,1264112#0,0
133,120942#22,0
133,4071746#13,0
136,439792#0,1
138,1444336#0,1
139,3682#0,1
140,894448#0,1
141,555106#0,1
142,156396#2,1
144,37538#0,1
145,235545#0,1
146,123200#0,1
148,246281#0,1
149,127787#0,1
152,226500#0,1
154,37486#0,1
155,1250606#0,1
156,500740#0,1
157,1803#0,1
158,3610#0,1
159,11068#0,1
161,282465#0,1
166,44375#0,1
167,42430#0,1
168,769854#0,1
169,28102#0,1
170,51842#0,1
171,2822271#27,1
172,3422433#0,1
174,664105#0,1
175,268602#0,1
176,25006#9,1
177,545397#0,1
178,23323#0,1
179,630486#1,1
181,176849#0,1
182,49469#6,1
185,296060#0,1
189,1289878#0,1
190,664446#0,1
191,246221#0,1
192,364561#0,1
194,621513#0,1
198,1089948#0,1
199,647283#7,1
200,209624#0,1
201,3587#0,1
202,2231#9,1
203,1811134#0,1
205,28057#0,1
208,1416#0,1
209,830630#12,1
212,11483#0,1
213,3896#1,1
214,436328#0,1
215,537090#0,1
216,890408#0,1
219,298416#0,1
220,7194#1,1
221,54677#0,1
223,10356#0,1
224,31410#0,1
226,18604#8,1
227,127674#0,1
229,1572578#0,1
230,1746355#1,1
231,1524530#0,1
231,1524530#2,0
232,14653#0,1
233,189920#0,1
234,472302#0,1
235,460118#3,1
235,460118#9,1
235,460118#26,1
235,460118#2,1
235,460118#5,0
235,460118#11,0
235,460118#14,0
235,460118#6,0
235,460118#23,0
236,3358196#0,1
237,967718#0,1
241,4318442#0,1
242,660042#1,1
245,467028#0,1
246,1868#1,1
247,2406615#0,1
248,1001785#0,1
249,1008248#1,1
250,2969367#1,1
251,2939612#1,1
252,2797#73,1
253,1521#0,1
254,7731#0,1
255,3027671#0,1
257,203596#0,1
257,203596#1,1
257,203596#3,0
257,203596#2,0
257,203596#14,0
