qid,docno,label
5455987#0,1630640#0,1
5455987#0,155695#21,1
5455987#0,1694875#2,1
5455987#0,97610#4,0
5455987#0,155695#23,0
5455987#0,5414300#75,0
5455987#0,1710085#12,0
5455987#0,10037#11,0
5455987#0,5549079#23,0
5455987#0,747998#0,0
1901870#0,7423748#0,1
1901870#0,86594#0,1
1901870#0,8352#0,1
1901870#0,8352#52,1
1901870#0,8352#1,1
1901870#0,296460#0,1
1901870#0,3144625#0,1
1901870#0,7422729#0,1
1901870#0,598969#0,1
1901870#0,8352#25,0
5061019#0,6245064#0,1
5061019#0,37842#3,1
5061019#0,6245064#16,1
5061019#0,6245064#35,0
5061019#0,235011#7,0
5061019#0,348056#7,0
5061019#0,472273#5,0
5061019#0,403660#43,0
5061019#0,1547261#1,0
5061019#0,1893802#0,0
1176286#0,686#0,1
1176286#0,5402099#15,1
1176286#0,686#11,1
1176286#0,3503834#0,0
1176286#0,1506772#1,0
1176286#0,4548049#5,0
1176286#0,7615#0,0
1176286#0,18658#5,0
1176286#0,455116#9,0
1176286#0,23557#0,0
1855#0,5682333#2,1
1855#0,7373002#0,1
1855#0,543#44,1
1855#0,7144686#0,1
1855#0,1595055#1,0
1855#0,20461#0,0
1855#0,78627#0,0
1855#0,493286#2,0
1855#0,46587#31,0
1855#0,1923800#0,0
4511218#0,355856#3,1
4511218#0,1120#0,1
4511218#0,1120#10,1
4511218#0,22171#24,1
4511218#0,1120#1,0
4511218#0,1137#11,0
4511218#0,5934731#1,0
4511218#0,1136#1,0
4511218#0,1751526#2,0
4511218#0,1120#14,0
3429226#0,6973704#3,1
3429226#0,528100#3,1
3429226#0,80820#4,1
3429226#0,528100#2,0
3429226#0,1094725#7,0
3429226#0,528100#4,0
3429226#0,244527#21,0
3429226#0,3621073#3,0
3429226#0,980005#12,0
3429226#0,980005#14,0
2792213#0,3458952#0,1
2792213#0,847518#0,0
2792213#0,847518#1,0
2792213#0,847518#3,0
2792213#0,1888237#14,0
2792213#0,97188#37,0
2792213#0,304084#9,0
2792213#0,78578#24,0
2792213#0,847518#2,0
2792213#0,1059308#0,0
5544144#0,6291808#13,1
5544144#0,181223#7,1
5544144#0,3952587#5,1
5544144#0,26508#57,0
5544144#0,21908#49,0
5544144#0,834952#5,0
5544144#0,1050749#26,0
5544144#0,70090#62,0
5544144#0,509#17,0
5544144#0,6291808#12,0
986470#0,17677#28,1
986470#0,447#52,1
986470#0,5496609#3,0
986470#0,3973#33,0
986470#0,152325#14,0
986470#0,970909#3,0
986470#0,17677#0,0
986470#0,599002#2,0
986470#0,970909#4,0
986470#0,970909#2,0
1099346#0,18616#1,1
1099346#0,4530#15,0
