qid,docno,label
0,59628#4,1
0,23174#3,0
0,30723#0,0
0,18862#0,0
0,55818#35,0
0,53281#0,0
0,38742#0,0
0,37737#2,0
0,61016#0,0
0,40216#0,0
0,41209#1,0
1,28055#0,1
1,53706#1,0
1,35219#19,0
1,26977#5,0
1,29285#1,0
1,20743#1,0
1,52308#5,0
1,8620#1,0
1,22794#1,0
1,7551#1,0
3,22304#1,1
3,33816#1,0
3,32198#13,0
3,19516#2,0
3,57097#3,0
3,19145#2,0
3,57171#2,0
3,9387#1,0
3,22939#3,0
4,52074#0,1
5,49315#0,1
6,47347#1,1
7,267710#2,1
8,32975#4,1
9,2475#5,1
11,57942#0,1
11,36633#0,0
11,32354#0,0
11,15602#0,0
11,9318#0,0
11,21901#1,0
11,29175#4,0
11,52674#4,0
11,36364#0,0
11,33813#0,0
12,34233#0,1
12,53595#0,0
12,37712#0,0
12,52563#0,0
12,17255#0,0
12,28183#0,0
12,28102#0,0
12,17045#0,0
12,16741#0,0
12,27590#0,0
13,1525#32,1
13,1525#3,1
13,1525#27,0
13,1525#26,0
13,1525#2,0
13,1525#24,0
13,1525#72,0
13,1525#42,0
13,1525#28,0
13,1525#58,0
16,135570#0,1
16,38417#6,0
16,39192#27,0
16,38314#5,0
16,20797#20,0
16,4827#2,0
16,34054#23,0
16,34120#23,0
16,5908#6,0
16,4827#1,0
18,1487#19,1
18,172292#3,0
18,4509#0,0
18,1487#18,0
18,4432#3,0
18,6984#6,0
18,4247#21,0
18,4247#19,0
18,19085#20,0
18,1487#31,0
18,4247#1,0
19,3083#1,1
19,3083#0,1
19,3083#10,0
19,11355#0,0
19,3083#7,0
19,1161#0,0
19,3083#2,0
19,38348#0,0
19,3310#12,0
19,3083#3,0
20,57899#0,1
20,34157#14,0
20,53706#1,0
20,49727#13,0
20,52859#0,0
20,36330#0,0
20,17113#0,0
20,16705#0,0
20,26029#1,0
22,71101#0,1
22,40017#6,0
22,54969#2,0
22,39240#7,0
22,6108#2,0
22,47170#4,0
22,32014#2,0
22,10183#3,0
22,4024#6,0
23,36931#0,1
23,21848#0,0
23,47932#5,0
23,24103#0,0
23,47382#6,0
23,47932#0,0
23,47382#0,0
23,36886#0,0
23,19041#0,0
23,36931#4,0
24,9520#2,1
24,9520#8,0
24,9520#26,0
24,9520#7,0
24,9520#23,0
24,9520#3,0
24,9520#18,0
24,76374#2,0
24,54582#11,0
24,37177#0,0
24,13816#2,0
25,32130#0,1
25,26977#5,0
25,32095#7,0
25,27160#0,0
25,34202#13,0
25,22026#0,0
25,21406#0,0
25,32387#11,0
25,35020#16,0
25,32130#14,0
26,127235#22,1
26,127235#32,0
26,127235#29,0
26,127235#31,0
26,31396#1,0
26,127235#3,0
26,127235#20,0
26,1532#32,0
26,127235#13,0
26,127235#0,0
27,9537#1,1
27,9537#20,0
27,26977#5,0
27,1685#3,0
27,32421#11,0
27,27096#1,0
27,57101#2,0
27,26658#6,0
27,26561#5,0
27,1306#17,0
29,4618#0,1
29,4618#1,0
29,4618#25,0
29,11574#6,0
29,28904#38,0
29,3708#0,0
29,32049#1,0
29,4618#10,0
29,4618#13,0
29,6663#1,0
30,87697#2,1
30,87697#6,1
30,48600#18,0
30,787#11,0
30,1570#0,0
30,55087#33,0
30,47327#1,0
30,48602#0,0
30,1530#26,0
30,1294#19,0
30,35675#36,0
31,153297#0,1
32,227219#0,1
33,254974#6,1
36,47072#4,1
39,22268#0,1
40,39204#0,1
42,17713#0,1
45,82470#1,1
46,32133#0,1
47,245980#2,1
53,78313#4,1
54,85267#1,1
56,21765#0,1
57,1119#0,1
59,209491#0,1
60,165493#1,1
61,108413#0,1
62,60289#4,1
63,104037#0,1
64,93331#0,1
67,39589#0,1
69,65450#0,1
70,103425#0,1
71,108204#2,1
72,35804#0,1
73,220236#1,1
74,103235#26,1
76,34227#0,1
77,105046#2,1
79,99026#1,1
80,16716#3,1
81,29246#0,1
82,24537#0,1
84,40609#0,1
85,229391#1,1
86,53281#0,1
87,55934#0,1
89,39192#0,1
92,57164#2,1
93,1358#0,1
95,57900#0,1
98,81942#2,1
99,57166#1,1
100,77368#0,1
100,31323#4,0
100,64952#3,0
100,43757#0,0
100,1912#1,0
100,31323#5,0
100,2469#28,0
100,40189#17,0
100,56042#3,0
100,38037#0,0
102,17392#2,1
102,32202#11,0
102,32311#9,0
102,35219#19,0
102,26983#9,0
