qid,docno,label
1,3228#0,1
1,5850#2,0
1,1058333#4,0
1,3228#16,0
1,5863#1,0
1,1269732#0,0
1,5847#0,0
1,8432#4,0
1,259#10,0
1,128525#10,0
1,1617482#0,0
1,2565#18,0
1,3228#13,0
1,718811#3,0
1,3228#12,0
1,3228#11,0
1,1603083#3,0
3,164191#3,1
3,164191#8,0
3,259687#0,0
3,151097#29,0
3,858159#0,0
3,164191#11,0
3,464188#0,0
3,1274839#14,0
3,164191#10,0
3,164191#9,0
3,164191#6,0
3,457522#2,0
3,142345#4,0
5,39713#0,1
5,91867#0,0
5,38793#1,0
5,39713#5,0
5,89158#1,0
5,39713#6,0
5,396452#0,0
5,1113876#1,0
5,39713#7,0
5,341066#0,0
5,761841#1,0
5,232931#1,0
5,737433#1,0
5,1740214#2,0
6,10174#8,1
6,2011985#0,1
6,7753#39,1
6,378177#29,0
6,7753#9,0
6,156472#7,0
6,2011985#4,0
6,50902#7,0
6,346436#4,0
6,424163#19,0
6,7766#21,0
6,331437#28,0
6,7766#28,0
6,384893#5,0
6,7753#46,0
6,384897#4,0
6,346436#3,0
6,7753#47,0
7,74067#0,1
7,432258#0,1
7,261591#3,0
7,1613636#0,0
7,74067#102,0
7,1613636#1,0
7,468617#0,0
7,82210#11,0
7,319777#2,0
7,1873037#176,0
7,74134#44,0
7,44324#20,0
7,367568#5,0
8,2205#0,1
8,240795#0,1
8,299164#1,0
8,345672#0,0
8,109135#0,0
8,343362#0,0
8,129520#0,0
8,113623#3,0
8,293939#0,0
8,127466#13,0
8,305595#0,0
8,2467#2,0
8,351407#0,0
8,354657#0,0
8,240786#0,0
8,2205#56,0
8,52138#14,0
9,1007017#37,1
9,99782#4,1
9,108151#23,1
9,1753986#2,1
9,617908#33,0
9,687465#0,0
9,463762#11,0
9,1007017#3,0
9,78656#4,0
9,1753986#1,0
9,78656#37,0
11,5048#11,1
11,240463#78,1
11,7629#37,1
11,5963#15,1
11,47409#15,1
11,7629#0,1
11,5963#3,0
11,33993#44,0
11,7629#28,0
11,7629#107,0
11,1918309#15,0
11,11293#17,0
11,7629#90,0
11,1583395#3,0
15,49587#1,1
15,49587#2,0
15,49587#0,0
15,10011#48,0
15,72591#4,0
15,1488225#1,0
15,208911#0,0
15,111512#0,0
15,116282#6,0
15,18778#4,0
15,10011#2,0
15,10011#46,0
15,10011#55,0
15,10011#54,0
16,1186124#20,1
16,1186124#28,0
16,1621395#96,0
16,1621395#118,0
16,1186124#4,0
16,134039#19,0
16,1621395#105,0
16,1186124#19,0
16,1621395#1,0
16,1186124#0,0
16,1621395#100,0
16,1186124#31,0
16,1186124#3,0
16,11189#1,0
19,1562393#0,1
19,10336#0,1
19,920274#2,0
19,581715#2,0
19,35370#142,0
19,124001#18,0
19,500510#24,0
19,70827#0,0
19,936772#0,0
19,32377#63,0
19,1852#28,0
19,936772#47,0
19,582166#3,0
20,210860#4,1
20,414872#0,0
20,1377267#0,0
20,558364#0,0
20,1240891#0,0
20,558686#0,0
20,52138#14,0
20,2031474#14,0
20,1501334#1,0
20,1936366#0,0
20,1923921#0,0
20,1250208#0,0
20,1249823#0,0
20,210860#40,0
20,77303#3,0
20,77303#0,0
20,97277#1,0
22,2431#2,1
22,642536#0,1
22,1402905#0,1
22,668535#0,1
22,2436#0,1
22,668859#0,1
22,668522#0,0
22,2431#10,0
22,642618#0,0
22,642527#0,0
22,2431#17,0
22,642627#0,0
22,2431#9,0
22,2436#1,0
25,1695549#16,1
25,603707#2,0
25,603707#0,0
25,603707#4,0
25,6213#15,0
25,1630967#1,0
25,6213#12,0
25,675342#15,0
25,157292#12,0
25,55135#1,0
25,1919700#0,0
25,6214#1,0
25,12954#0,0
25,291506#1,0
25,94039#271,0
26,121613#0,1
26,13905#1,1
26,40960#0,1
26,3222#13,1
26,40960#67,0
26,265339#9,0
26,40960#41,0
26,123126#7,0
26,82210#17,0
26,188400#3,0
26,90200#10,0
26,188400#1,0
26,620218#7,0
26,121613#18,0
26,609533#1,0
26,121613#17,0
27,9178#10,1
27,9178#1,1
27,656179#0,0
27,74554#0,0
27,9178#24,0
27,2766#2,0
27,2871#77,0
27,769015#0,0
27,9178#6,0
27,981449#4,0
27,30224#0,0
27,11308#1,0
27,11308#3,0
27,1783476#1,0
32,1863#4,1
32,697081#0,0
32,1771819#3,0
32,680129#2,0
32,390229#26,0
32,14046#18,0
32,1863#8,0
32,826356#0,0
32,542138#4,0
32,295247#3,0
32,1625986#2,0
33,27809#38,1
33,27809#51,0
33,27809#47,0
33,27809#10,0
33,27809#31,0
33,27809#49,0
33,27809#25,0
33,27809#52,0
33,27809#24,0
33,27809#46,0
33,27809#36,0
33,27809#0,0
33,27809#45,0
33,27809#59,0
34,487516#0,1
34,487516#2,1
34,2197086#37,0
34,481425#7,0
34,487516#6,0
34,487516#5,0
34,73045#1,0
34,783#2,0
34,487516#25,0
34,8064#1,0
34,76515#3,0
34,280#29,0
34,487516#1,0
34,487516#4,0
34,487516#3,0
34,249#157,0
38,941759#3,1
38,1840#5,1
38,941759#10,1
38,1840#4,1
38,130764#2,0
38,1840#1,0
38,1840#3,0
38,1840#2,0
38,1840#10,0
38,898684#2,0
38,1840#13,0
38,949769#2,0
38,1401613#0,0
41,10174#8,1
41,2011985#1,1
41,2011985#0,1
41,7753#39,1
41,331437#28,0
41,2011985#3,0
41,14220#13,0
41,2011985#4,0
41,2011985#2,0
41,346436#4,0
41,424163#27,0
41,14220#22,0
41,7766#28,0
41,1598734#4,0
41,7753#46,0
42,1421080#5,1
42,1421080#6,0
42,1421080#13,0
42,1421080#12,0
42,1421080#19,0
42,1421080#15,0
42,154060#8,0
42,1421080#0,0
42,1421080#17,0
42,1421080#7,0
42,154060#10,0
42,154060#11,0
42,154060#1,0
43,7567#14,1
43,7567#2,1
43,1375324#0,0
43,7567#7,0
43,1818333#1,0
43,1375324#47,0
43,7567#12,0
43,7567#8,0
43,1435175#2,0
43,298969#12,0
43,7567#20,0
44,914853#0,1
44,6476#40,1
44,659167#0,1
44,1015515#0,1
44,713090#0,1
44,862813#0,1
44,923935#0,1
44,34921#0,1
44,1797743#0,1
44,34921#4,1
44,1797521#0,1
44,378974#0,1
44,5886#2,0
46,82967#0,1
46,147137#19,1
46,82967#19,0
46,410313#0,0
46,612705#0,0
46,381228#6,0
46,19706#12,0
46,82967#17,0
46,423389#24,0
46,1371522#4,0
46,1443004#0,0
46,81313#1,0
46,82978#36,0
46,147137#0,0
47,1440352#0,1
47,124001#40,1
47,312055#6,1
47,449283#23,0
47,2746#48,0
47,2746#37,0
47,2746#59,0
47,2746#54,0
47,119261#28,0
47,325530#19,0
47,344876#37,0
47,121324#7,0
47,2746#6,0
47,2746#69,0
47,31364#2,0
50,26953#6,1
50,756775#0,0
50,871881#1,0
50,326151#1,0
50,905229#1,0
50,560332#1,0
50,72313#3,0
50,1208029#10,0
50,139322#1,0
50,11190#1,0
50,26953#11,0
50,65135#4,0
50,1157781#1,0
50,391388#0,0
50,123910#6,0
50,330668#0,0
50,658071#1,0
50,150461#2,0
52,5157#8,1
52,9034#3,1
52,259#15,1
52,5156#10,1
52,4466#9,0
52,185284#5,0
52,5886#6,0
52,6196#5,0
52,56352#2,0
52,332599#1,0
52,249#19,0
52,301432#3,0
52,10227#11,0
52,13671#2,0
53,692591#0,1
53,1311887#2,1
53,615538#2,1
53,776863#1,0
53,1743242#0,0
53,776863#0,0
53,781098#0,0
53,320223#2,0
53,1180761#2,0
53,1753608#3,0
53,776863#3,0
53,1743242#1,0
53,776863#2,0
55,54851#0,1
55,249707#0,0
55,54851#2,0
55,79196#8,0
55,1075483#5,0
55,637931#1,0
55,227255#7,0
55,227255#13,0
55,42284#0,0
55,1171441#0,0
55,1045802#0,0
55,1170913#3,0
55,317595#1,0
55,1976649#2,0
55,224065#0,0
55,42284#14,0
56,6483#0,1
56,713672#9,0
56,222797#5,0
56,4953#134,0
56,1107396#0,0
56,61504#73,0
56,507251#1,0
56,507179#3,0
56,1448916#0,0
56,2306660#0,0
56,304700#7,0
56,841455#0,0
56,240463#59,0
56,204557#3,0
56,6483#1,0
56,730739#2,0
59,1448543#0,1
59,1448543#2,1
59,31103#1,1
59,31110#1,1
59,106746#6,0
59,9850#2,0
59,509765#1,0
59,686074#2,0
59,383736#9,0
59,509765#0,0
59,31054#7,0
59,106535#1,0
59,112748#5,0
59,1171083#14,0
59,256883#9,0
59,693523#2,0
60,12510#2,1
60,327487#0,0
60,56512#5,0
60,22726#3,0
60,683102#9,0
60,175142#9,0
60,325776#18,0
60,548598#6,0
60,683102#8,0
60,116015#0,0
60,31437#0,0
