qid,docno,label
0,59523#1,1
0,58671#13,1
0,3287#0,1
0,523096#0,0
0,296930#45,0
0,520846#0,0
0,521760#0,0
0,485009#34,0
0,521809#0,0
0,296930#46,0
1,41437#2,1
1,464627#3,0
1,41437#0,0
1,353461#3,0
1,8845#7,0
1,490763#2,0
1,571114#1,0
1,41437#5,0
1,28517#6,0
1,41437#3,0
2,25926#0,1
2,112270#0,1
2,25926#3,1
2,25926#11,0
2,25926#1,0
2,25926#2,0
2,25926#8,0
2,509176#1,0
2,509176#3,0
2,25926#12,0
5,33592#4,1
5,33592#0,0
5,33592#27,0
5,62670#0,0
5,33592#34,0
5,33592#1,0
5,33592#6,0
5,33592#30,0
5,33592#35,0
5,33592#21,0
6,414711#0,1
6,4051#3,1
6,4051#0,1
6,502421#0,1
6,249790#6,1
6,536241#1,0
6,4051#44,0
6,4051#1,0
6,138302#10,0
6,414711#1,0
8,486957#0,1
8,9426#0,0
8,486957#3,0
8,500423#0,0
8,246836#1,0
8,486957#4,0
8,487074#0,0
8,591646#1,0
8,488799#0,0
8,9273#0,0
9,1218#2,1
9,1405#0,1
9,332145#0,0
9,393847#0,0
9,651113#19,0
9,1218#40,0
9,1218#38,0
9,1218#65,0
9,8599#1,0
9,1218#64,0
10,363097#0,1
10,363097#7,0
10,363097#4,0
10,468221#6,0
10,363097#8,0
10,575322#2,0
10,609438#0,0
10,363097#2,0
10,363097#6,0
10,363097#1,0
11,551087#6,1
11,551087#0,1
11,551087#8,1
11,551087#9,1
11,551820#0,1
11,551820#4,1
11,551087#11,0
11,551087#19,0
11,551087#18,0
11,551087#2,0
12,5531#0,1
12,545474#1,0
12,1551#2,0
12,2374#0,0
12,396129#1,0
12,306492#0,0
12,545474#3,0
12,80810#1,0
12,626934#1,0
12,34128#0,0
13,115413#15,1
13,113755#6,1
13,649153#5,0
13,113755#3,0
13,624200#13,0
13,113755#11,0
13,271251#7,0
13,580775#4,0
13,6475#27,0
13,8547#0,0
14,96891#1,1
14,431197#1,0
14,79389#4,0
14,64586#2,0
14,69509#0,0
14,543683#9,0
14,646362#8,0
14,79389#5,0
14,64586#1,0
14,543683#6,0
15,455215#1,1
15,453826#5,0
15,453839#0,0
15,455215#29,0
15,453826#9,0
15,453826#3,0
15,606216#1,0
15,455215#2,0
15,453826#10,0
15,449105#0,0
15,449044#0,0
16,349810#0,1
16,632216#1,1
16,1109#24,1
16,378909#3,0
16,493310#2,0
16,383865#2,0
16,10823#5,0
16,383865#1,0
16,266893#6,0
16,317679#23,0
16,170493#7,0
17,3134#0,1
17,3134#6,1
17,453596#0,0
17,64875#0,0
17,79770#5,0
17,453613#0,0
17,91159#0,0
17,64819#0,0
17,83364#2,0
17,17902#0,0
17,540367#0,0
18,822#2,1
18,645305#1,0
18,822#31,0
18,17994#2,0
18,438938#2,0
18,822#18,0
18,543634#4,0
18,1185#0,0
18,17994#4,0
18,483257#0,0
19,328255#0,1
19,328255#4,0
19,572212#0,0
19,332872#0,0
19,461096#0,0
19,521076#20,0
19,457486#23,0
19,332071#1,0
19,17875#4,0
19,570657#1,0
20,7703#1,1
20,7703#0,0
20,696255#0,0
20,501896#0,0
20,7703#2,0
20,5223#1,0
20,7703#3,0
20,528788#0,0
20,677455#0,0
20,605318#0,0
22,3728#5,1
22,3728#0,0
22,2976#1,0
22,283107#2,0
22,3728#11,0
22,3728#15,0
22,3722#28,0
22,3451#9,0
22,3726#29,0
22,283107#0,0
24,462624#3,1
24,462624#0,0
24,462624#12,0
24,462624#10,0
24,10650#5,0
24,462624#14,0
24,462624#18,0
24,462624#15,0
24,266218#1,0
24,462624#8,0
25,626318#0,1
25,626318#9,0
25,626318#8,0
25,626318#4,0
25,626318#2,0
25,626318#7,0
25,626318#6,0
25,468159#2,0
25,651155#2,0
25,536347#2,0
26,72106#0,1
26,15847#28,1
26,42898#5,0
26,15847#30,0
26,333440#0,0
26,77007#0,0
26,1497#9,0
26,15844#10,0
26,449454#0,0
26,75272#3,0
27,1365#22,1
27,1365#1,1
27,10883#5,1
27,10883#0,0
27,10883#4,0
27,10883#6,0
27,119160#26,0
27,66880#57,0
27,10883#7,0
27,1365#48,0
28,81541#2,1
28,80843#3,0
28,81541#3,0
28,2729#1,0
28,9297#2,0
28,563162#2,0
28,630631#3,0
28,252285#2,0
28,452884#0,0
28,71499#3,0
29,632846#0,1
29,480636#6,0
29,663105#5,0
29,263768#3,0
29,71038#8,0
29,663105#4,0
29,605166#0,0
29,71038#6,0
29,370299#4,0
29,632846#42,0
29,93942#0,0
30,61126#0,1
30,61126#2,1
30,8763#0,0
30,490661#0,0
30,13822#1,0
30,715454#1,0
30,61126#1,0
30,61126#8,0
30,10818#1,0
30,570569#1,0
31,7768#0,1
31,7768#1,1
31,296930#9,1
31,35317#5,1
31,7768#2,0
31,35320#0,0
31,320702#5,0
31,1108#22,0
31,64498#0,0
31,296930#31,0
32,259612#1,1
32,259612#0,0
32,259612#3,0
32,259612#13,0
32,259612#6,0
32,259612#11,0
32,259612#10,0
32,259612#14,0
32,259612#5,0
32,259612#12,0
33,580399#3,1
33,18363#2,0
33,580399#1,0
33,580399#12,0
33,95809#1,0
33,374673#1,0
33,580399#4,0
33,653285#2,0
33,343277#1,0
33,286173#18,0
34,11473#5,1
34,109204#7,1
34,468372#9,0
34,568886#1,0
34,498874#5,0
34,517791#0,0
34,468372#5,0
34,16565#21,0
34,109204#6,0
34,477281#3,0
35,345869#0,1
35,345869#24,0
35,345869#8,0
35,345869#17,0
35,345869#9,0
35,345869#15,0
35,345869#14,0
35,345869#23,0
35,345869#2,0
35,345738#3,0
37,95463#4,1
37,1528#6,1
37,1528#8,0
37,95463#7,0
37,1528#1,0
37,4098#2,0
37,591832#1,0
37,1528#7,0
37,72925#1,0
37,82042#2,0
38,609607#0,1
38,609607#1,1
38,609607#6,0
38,435109#1,0
38,609607#3,0
38,15751#2,0
38,636129#1,0
38,296401#1,0
38,609607#2,0
38,80594#1,0
38,414278#3,0
39,18215#0,1
39,18215#1,0
39,18215#2,0
39,63731#1,0
39,625824#1,0
39,494100#0,0
39,70522#10,0
39,96403#1,0
39,79804#2,0
39,5474#3,0
40,11117#0,1
40,2032#0,1
40,92839#14,0
40,470320#3,0
40,595533#0,0
40,269442#0,0
40,11415#0,0
40,574369#3,0
40,11428#1,0
40,501393#4,0
41,358359#0,1
41,628109#1,1
41,4520#40,0
41,4520#19,0
41,522411#0,0
41,358359#4,0
41,358359#3,0
41,3289#11,0
41,358359#6,0
41,3289#16,0
43,286608#6,1
43,286608#0,1
43,641620#0,1
43,286608#1,1
43,17957#1,1
43,64227#4,0
43,64227#5,0
43,546496#23,0
43,641620#2,0
43,558197#154,0
44,624370#3,1
44,624370#5,0
44,3220#24,0
44,456629#3,0
44,624370#12,0
44,624370#4,0
44,633888#4,0
44,624370#30,0
44,390799#1,0
44,24051#6,0
45,205150#1,1
45,205150#5,1
45,205150#2,0
45,205150#7,0
45,205150#9,0
45,113928#17,0
45,255205#2,0
45,649153#5,0
45,501144#2,0
45,492645#16,0
46,108248#0,1
46,59474#5,1
46,6025#1,0
46,107698#0,0
46,108251#0,0
46,6025#0,0
46,112527#0,0
46,246526#0,0
46,108310#0,0
46,107671#0,0
46,113919#0,0
47,107058#1,1
47,107058#0,0
47,107058#8,0
47,107058#7,0
47,253600#0,0
47,245334#0,0
47,335467#0,0
47,107058#4,0
47,331014#0,0
47,641081#1,0
49,5067#1,1
49,494516#6,0
49,718203#1,0
49,16565#30,0
49,501335#0,0
49,428669#0,0
49,1497#65,0
49,531130#0,0
49,5067#5,0
49,499742#0,0
49,322856#0,0
50,9190#2,1
50,10655#19,1
50,268957#14,0
50,712437#2,0
50,6751#2,0
50,710788#0,0
50,710788#4,0
50,1108#61,0
50,290793#28,0
50,9190#3,0
51,10823#0,1
51,10823#77,0
51,138300#0,0
51,1109#24,0
51,710705#1,0
51,10823#2,0
51,10823#45,0
51,710705#0,0
51,349810#40,0
51,374673#0,0
52,370400#2,1
52,354685#3,1
52,481621#1,1
52,8289#0,0
52,251352#0,0
52,5920#17,0
52,697495#2,0
52,499132#1,0
52,1568#34,0
52,1568#39,0
54,97006#3,1
54,463611#0,0
54,97006#7,0
54,97006#12,0
54,97006#2,0
54,97006#9,0
54,60447#0,0
54,97006#8,0
54,97006#4,0
54,413798#0,0
55,453722#1,1
55,347506#0,1
55,319670#0,0
55,607651#1,0
55,307737#0,0
55,528014#6,0
55,608624#0,0
55,319670#3,0
55,527544#0,0
55,62676#0,0
58,584145#1,1
58,378221#1,1
58,378221#0,1
58,378221#2,0
58,490853#1,0
58,15844#29,0
58,378221#7,0
58,376898#2,0
58,378221#4,0
58,378221#16,0
59,63623#1,1
59,249249#3,1
59,63623#5,0
59,63623#23,0
59,80059#2,0
59,64498#2,0
59,63623#22,0
59,63623#7,0
59,63623#24,0
59,441410#1,0
59,296930#29,0
61,243456#0,1
61,569693#3,0
61,484184#4,0
61,1529#23,0
61,582678#2,0
61,10915#2,0
61,582973#2,0
61,529221#0,0
61,243456#10,0
61,71797#12,0
62,59459#0,1
62,692705#0,1
62,59459#5,0
62,670353#1,0
62,59459#46,0
62,59459#8,0
62,664604#1,0
62,59459#36,0
62,694991#0,0
62,59459#33,0
65,6317#5,1
65,71430#1,1
65,6563#1,0
65,555330#12,0
65,632390#16,0
65,91001#1,0
65,35420#0,0
65,644299#6,0
65,362994#1,0
65,6317#11,0
65,717350#0,0
66,562439#1,1
66,562439#3,1
66,562439#15,0
66,4712#11,0
66,305822#1,0
66,562439#7,0
66,92579#1,0
66,296930#88,0
66,287200#3,0
66,366963#4,0
68,1570#2,1
68,369720#2,1
68,263098#4,1
68,267603#3,1
68,66346#9,0
68,66346#0,0
68,298104#0,0
68,635225#2,0
68,309127#0,0
68,570366#1,0
70,490416#1,1
70,490416#0,0
70,675548#1,0
70,699176#2,0
70,636577#3,0
70,6699#2,0
70,644860#1,0
70,61691#2,0
70,326087#0,0
70,672710#3,0
70,654366#2,0
71,361141#0,1
71,108398#4,0
71,366878#9,0
71,371539#1,0
71,431377#1,0
71,13902#51,0
71,485832#7,0
71,319344#0,0
71,11353#0,0
71,390549#0,0
73,501830#4,1
73,501830#0,0
73,425517#9,0
73,496797#10,0
73,501830#16,0
73,59528#17,0
73,654922#6,0
73,369720#15,0
73,59528#30,0
73,15847#18,0
74,345869#24,1
74,345869#10,0
74,345869#14,0
74,345869#8,0
74,345869#15,0
74,345869#9,0
74,345869#17,0
74,345869#0,0
74,345869#7,0
74,345738#3,0
74,345869#23,0
75,10284#0,1
75,10284#14,1
75,10284#8,1
75,631540#0,1
75,10284#11,1
75,631885#2,1
75,17908#0,1
75,17908#2,1
75,609103#0,1
75,16428#0,0
76,138300#0,1
76,485155#0,1
76,10823#0,0
76,179106#0,0
76,138930#0,0
76,183164#0,0
76,170493#0,0
76,138300#2,0
76,138300#8,0
76,217228#0,0
76,10823#45,0
77,367100#1,1
77,367100#6,0
77,392636#0,0
77,366752#1,0
77,367100#8,0
77,367100#2,0
77,367100#0,0
77,295053#0,0
77,113606#0,0
77,608418#0,0
78,42564#7,1
78,471152#3,1
78,471152#2,0
78,480289#0,0
78,247275#1,0
78,80311#2,0
78,270945#0,0
78,439407#1,0
78,688374#0,0
78,675287#0,0
79,413410#0,1
79,428123#0,1
79,428123#2,1
79,428123#12,1
79,428123#11,0
79,637273#6,0
79,639605#6,0
79,428123#4,0
79,428123#20,0
79,397145#0,0
80,3732#0,1
80,543634#1,1
80,17994#7,1
80,3429#10,0
